t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
20,2.3853,2.4242,1.9199,1.5601,4.1851,-0.2508,-0.0463,0.06505,-1.535,-1.155
20,2.4557,2.4145,1.9086,1.5308,4.1851,-0.2363,-0.1257,0.07164,-1.795,-1.564
20,2.4104,2.4487,1.9768,1.5601,4.1851,-0.2298,-0.033,0.05389,-1.739,-1.441
43,2.4205,2.4536,2.0224,1.5601,4.1851,-0.2027,-0.0204,0.04149,-1.799,-1.436
139,2.6417,2.566,2.1362,1.5601,4.1851,-0.1807,-0.1265,0.04866,-1.8,-1.327
245,2.521,2.3754,1.937,1.5601,4.1851,-0.1727,-0.1989,0.06936,-1.758,-1.629
338,2.6316,2.5611,2.1248,1.5601,4.1851,-0.1859,-0.1243,0.04999,-1.796,-1.468
443,2.6417,2.566,2.1248,1.5601,4.2132,-0.188,-0.1314,0.05263,-1.8,-1.311
546,2.4255,2.4487,1.9598,1.5601,4.1851,-0.2378,-0.0551,0.05961,-1.798,-1.426
647,2.511,2.3705,1.8801,1.5601,4.1851,-0.2071,-0.2163,0.0897,-1.788,-1.341
747,2.4708,2.3118,2.011,1.5601,4.1851,-0.0816,-0.1523,0.02986,-1.769,-1.428
849,2.4054,2.4389,1.9768,1.5601,4.1851,-0.2226,-0.0334,0.05066,-1.789,-1.34
950,2.6366,2.566,2.1077,1.5308,4.1851,-0.2,-0.1339,0.05792,-1.798,-1.253
1054,2.3954,2.4242,1.9256,1.5601,4.1851,-0.2452,-0.0537,0.06301,-1.799,-1.487
1155,2.4155,2.4585,1.9882,1.5308,4.1851,-0.2297,-0.0276,0.05351,-1.793,-1.338
1255,2.4607,2.2972,2.0053,1.5308,4.1851,-0.075,-0.1529,0.02901,-1.755,-1.432
1356,2.4456,2.4047,1.9939,1.5601,4.1851,-0.1752,-0.0842,0.03778,-1.771,-1.338
1460,2.4054,2.4438,1.9598,1.5601,4.1851,-0.2377,-0.0381,0.05793,-1.799,-1.274
1557,2.4205,2.4487,1.9939,1.5308,4.1851,-0.2169,-0.0354,0.04828,-1.8,-1.432
1660,2.5009,2.3412,1.9427,1.5308,4.1851,-0.1443,-0.1954,0.059,-1.74,-1.414
1757,2.6366,2.566,2.1134,1.6188,4.1851,-0.1963,-0.1314,0.05582,-1.8,-1.322
1864,2.4607,2.3069,2.0053,1.5308,4.1851,-0.0832,-0.1476,0.02869,-1.768,-1.457
1964,2.511,2.346,1.8573,1.5308,4.129,-0.2013,-0.2396,0.09792,-1.763,-1.496
2066,2.6316,2.5611,2.1305,1.5601,4.1851,-0.1822,-0.1218,0.04804,-1.785,-1.373
2168,2.5009,2.3607,1.8801,1.5601,4.1851,-0.2009,-0.2118,0.08522,-1.788,-1.428
2269,2.6366,2.566,2.1077,1.5601,4.1851,-0.2,-0.1339,0.05792,-1.8,-1.325
2369,2.3753,2.4096,1.9655,1.5601,4.1851,-0.2112,-0.0248,0.04522,-1.798,-1.396
2464,2.4858,2.3216,1.9199,1.5308,4.129,-0.1455,-0.2012,0.06163,-1.769,-1.421
2574,2.6366,2.5611,2.1134,1.5308,4.1851,-0.1922,-0.1341,0.05494,-1.8,-1.329
2673,2.5261,2.3656,1.9313,1.5601,4.1851,-0.1672,-0.2116,0.07272,-1.752,-1.521
2774,2.3753,2.4145,1.9711,1.5601,4.1851,-0.2116,-0.0196,0.04517,-1.798,-1.404
2877,2.6366,2.5611,2.1134,1.5601,4.2132,-0.1922,-0.1341,0.05494,-1.798,-1.34
2980,2.3853,2.4242,1.9256,1.5601,4.1851,-0.2471,-0.0439,0.06301,-1.798,-1.409
3080,2.6366,2.566,2.1134,1.5601,4.1851,-0.1963,-0.1314,0.05582,-1.8,-1.292
3179,2.5009,2.346,1.9313,1.5601,4.1851,-0.1557,-0.1977,0.0633,-1.738,-1.472
3282,2.521,2.3754,1.9029,1.5601,4.1851,-0.1946,-0.2137,0.08353,-1.8,-1.411
3385,2.6316,2.566,2.1305,1.5601,4.1851,-0.1863,-0.1191,0.0489,-1.798,-1.249
3483,2.6366,2.566,2.1191,1.5601,4.1851,-0.1927,-0.129,0.05375,-1.788,-1.39
3586,2.4708,2.3265,2.011,1.5601,4.1851,-0.0939,-0.1443,0.02963,-1.768,-1.318
3687,2.6366,2.566,2.1134,1.5601,4.2132,-0.1963,-0.1314,0.05582,-1.795,-1.492
3788,2.5009,2.3314,1.8232,1.5601,4.1851,-0.2129,-0.2526,0.10913,-1.782,-1.566
3885,2.6366,2.566,2.1134,1.5601,4.1851,-0.1963,-0.1314,0.05582,-1.8,-1.312
3991,0.1334,0.0,-0.3335,1.5601,4.1851,-0.1076,-0.1413,0.03155,-1.621,-1.436
4092,2.4607,2.2923,1.9996,1.4721,4.1851,-0.0746,-0.1581,0.03054,-1.763,-1.39
4193,2.6366,2.566,2.1362,1.5601,4.1851,-0.1817,-0.1216,0.04779,-1.793,-1.49
4298,2.5009,2.3412,1.9199,1.5601,4.1851,-0.1589,-0.2053,0.06739,-1.697,-1.394
4397,2.4004,2.434,1.9541,1.5308,4.129,-0.2341,-0.041,0.05649,-1.8,-1.319
4495,2.6417,2.566,2.1191,1.5601,4.1851,-0.1917,-0.1339,0.05467,-1.8,-1.424
4600,2.3803,2.4242,1.9199,1.5601,4.1851,-0.2518,-0.0414,0.06511,-1.798,-1.395
4699,2.6316,2.5611,2.1305,1.5601,4.1571,-0.1822,-0.1218,0.04804,-1.8,-1.275
4801,2.5009,2.3509,1.9086,1.5601,4.1851,-0.1744,-0.2049,0.07238,-1.754,-1.248
4903,2.4255,2.4585,1.9598,1.5601,4.1851,-0.246,-0.0498,0.06301,-1.799,-1.35
5007,2.6366,2.5611,2.1362,1.5601,4.1851,-0.1776,-0.1243,0.04697,-1.785,-1.279
5106,2.4456,2.4487,1.9996,1.5308,4.1851,-0.2083,-0.0576,0.04672,-1.799,-1.411
5207,2.4808,2.3265,1.9711,1.5601,4.1851,-0.1176,-0.1714,0.0432,-1.738,-1.449
5310,2.6366,2.5611,2.1362,1.5601,4.1851,-0.1776,-0.1243,0.04697,-1.785,-1.292
5409,2.516,2.3705,1.8915,1.5601,4.1851,-0.1988,-0.2163,0.08633,-1.788,-1.293
5511,2.4255,2.4487,1.9711,1.5601,4.1851,-0.2305,-0.0502,0.05567,-1.8,-1.462
5612,2.5261,2.3803,1.8687,1.5894,4.1851,-0.2197,-0.2307,0.10149,-1.795,-1.604
5715,2.5009,2.3363,1.8744,1.5308,4.1851,-0.1841,-0.2277,0.08573,-1.769,-1.456
5816,2.6366,2.5611,2.1419,1.5601,4.1851,-0.1739,-0.1218,0.04508,-1.758,-1.294
5916,2.4858,2.3412,1.9142,1.5601,4.1851,-0.1655,-0.1929,0.06461,-1.758,-1.355
6019,2.506,2.3656,1.8858,1.5894,4.1851,-0.2003,-0.2116,0.08492,-1.788,-1.651
6120,2.4607,2.2874,2.0053,1.5601,4.1851,-0.0668,-0.1583,0.02951,-1.765,-1.243
6220,2.4708,2.3118,2.0167,1.5601,4.1851,-0.078,-0.1498,0.02853,-1.762,-1.488
6323,2.6366,2.5611,2.1362,1.5015,4.2132,-0.1776,-0.1243,0.04697,-1.782,-1.256
6422,2.5261,2.3949,1.8972,1.5308,4.1851,-0.2137,-0.2104,0.0899,-1.789,-1.452
6524,2.3903,2.4291,1.9541,1.5601,4.1851,-0.232,-0.0338,0.05495,-1.765,-1.581
6625,2.6366,2.5562,2.1362,1.5894,4.1851,-0.1735,-0.1269,0.04621,-1.757,-1.401
6725,2.4456,2.4585,2.0224,1.5601,4.1851,-0.2019,-0.0424,0.04255,-1.788,-1.442
6824,2.6366,2.5611,2.1305,1.5601,4.1851,-0.1812,-0.1267,0.04891,-1.8,-1.272
6932,2.4909,2.3851,1.9313,1.5601,4.1851,-0.1903,-0.1664,0.06391,-1.788,-1.448
7031,2.3753,2.4194,1.9427,1.5015,4.1851,-0.234,-0.0293,0.05562,-1.798,-1.468
7129,2.6366,2.566,2.1191,1.5601,4.1851,-0.1927,-0.129,0.05375,-1.794,-1.303
7236,2.6417,2.566,2.1305,1.5601,4.1851,-0.1844,-0.129,0.05062,-1.794,-1.466
7334,2.3853,2.4096,1.9996,1.5601,4.1851,-0.1873,-0.0198,0.03548,-1.798,-1.346
7436,2.4406,2.4487,1.9939,1.5308,4.1851,-0.213,-0.0551,0.0484,-1.797,-1.408
7536,2.4356,2.4585,1.9939,1.5308,4.1851,-0.2221,-0.0449,0.05135,-1.799,-1.339
7640,2.6417,2.566,2.1248,1.5308,4.1851,-0.188,-0.1314,0.05263,-1.8,-1.307
7739,2.5261,2.4047,1.9142,1.5894,4.1851,-0.2109,-0.1976,0.08351,-1.769,-1.63
7840,2.4305,2.4633,1.9768,1.5894,4.1851,-0.2382,-0.0447,0.05872,-1.799,-1.382
7944,2.6366,2.5611,2.1191,1.5601,4.1851,-0.1886,-0.1317,0.05289,-1.799,-1.356
8047,2.3954,2.4291,1.9256,1.5601,4.1851,-0.2493,-0.0511,0.06475,-1.794,-1.618
8149,2.4607,2.3021,2.011,1.5601,4.1851,-0.0754,-0.1478,0.02752,-1.77,-1.311
8249,2.4205,2.4438,1.9882,1.5601,4.1851,-0.2164,-0.0406,0.04849,-1.781,-1.497
8348,2.5009,2.3949,1.937,1.5601,4.1851,-0.1929,-0.1684,0.06558,-1.798,-1.379
8451,2.4959,2.3265,1.9199,1.5601,4.1571,-0.1476,-0.2084,0.06521,-1.769,-1.296
8553,2.6366,2.5806,2.1191,1.5601,4.1851,-0.2049,-0.1209,0.05662,-1.795,-1.532
8646,2.4155,2.4536,1.9939,1.5601,4.1851,-0.2219,-0.0278,0.05002,-1.799,-1.276
8749,2.4507,2.3949,2.0224,1.5601,4.1851,-0.1477,-0.0821,0.02857,-1.757,-1.431
8856,2.516,2.3607,1.8972,1.5601,4.1851,-0.187,-0.2192,0.08302,-1.795,-1.489
8956,2.4858,2.3363,1.9199,1.5601,4.1851,-0.1577,-0.1932,0.06219,-1.77,-1.311
9058,2.4758,2.3998,1.9256,1.5894,4.1851,-0.2092,-0.146,0.06508,-1.798,-1.46
9159,2.5009,2.3558,1.8915,1.5601,4.1851,-0.1895,-0.2096,0.07982,-1.797,-1.401
9254,2.5261,2.3803,1.9427,1.5601,4.129,-0.1721,-0.1987,0.06908,-1.737,-1.54
9361,2.5009,2.3558,1.8744,1.5308,4.1851,-0.2004,-0.217,0.08726,-1.788,-1.406
9463,2.6316,2.566,2.1305,1.4721,4.1851,-0.1863,-0.1191,0.0489,-1.798,-1.49
9565,2.6366,2.5611,2.1419,1.5601,4.1851,-0.1739,-0.1218,0.04508,-1.763,-1.3
9664,1.3398,2.2874,2.1305,1.5601,4.1851,-0.2033,0.9957,1.03283,-1.8,-1.388
9758,2.511,2.3705,1.937,1.5894,4.129,-0.1705,-0.1917,0.06581,-1.739,-1.536
9862,2.4356,2.4682,2.011,1.5601,4.1851,-0.2193,-0.0321,0.04913,-1.795,-1.435
9970,2.4607,2.4096,1.9711,1.5601,4.1851,-0.191,-0.1061,0.04775,-1.798,-1.441
10066,2.6417,2.566,2.1248,1.5601,4.1851,-0.188,-0.1314,0.05263,-1.799,-1.326
10170,2.4557,2.2825,1.9996,1.5308,4.1851,-0.0673,-0.1585,0.02965,-1.768,-1.322
10271,2.3803,2.4194,1.9655,1.5601,4.1851,-0.2184,-0.0244,0.0483,-1.798,-1.493
10373,2.6366,2.5611,2.1191,1.5308,4.1571,-0.1886,-0.1317,0.05289,-1.8,-1.423
10475,2.4607,2.2972,1.9996,1.5308,4.1851,-0.0786,-0.1554,0.03033,-1.766,-1.462
10577,2.6417,2.5611,2.1134,1.5601,4.1851,-0.1913,-0.139,0.05591,-1.799,-1.294
10674,2.4607,2.2825,2.0224,1.5894,4.1851,-0.0517,-0.1535,0.02625,-1.755,-1.454
10781,2.521,2.3705,1.9086,1.5894,4.1851,-0.1869,-0.2139,0.08066,-1.769,-1.392
10880,2.6417,2.566,2.1362,1.5601,4.1851,-0.1807,-0.1265,0.04866,-1.8,-1.321
10983,2.5261,2.3803,1.9029,1.5601,4.1851,-0.1977,-0.2159,0.08572,-1.8,-1.343
11082,2.4054,2.434,1.9541,1.5601,4.1851,-0.2331,-0.0459,0.05646,-1.799,-1.454
11184,2.4155,2.4389,1.9541,1.5308,4.1851,-0.2353,-0.0531,0.05817,-1.799,-1.468
11286,2.511,2.3949,1.9256,1.4721,4.1851,-0.1983,-0.1832,0.07289,-1.798,-1.548
11384,2.6366,2.566,2.1248,1.5601,4.2132,-0.189,-0.1265,0.05172,-1.795,-1.279
11490,2.4657,2.3069,2.0451,1.5601,4.1851,-0.0566,-0.1352,0.02149,-1.77,-1.374
11591,2.5009,2.3265,1.8118,1.5601,4.1851,-0.2162,-0.2602,0.11441,-1.787,-1.342
11691,2.6366,2.5611,2.1419,1.5601,4.1851,-0.1739,-0.1218,0.04508,-1.757,-1.374
11788,2.521,2.3803,1.8972,1.5601,4.1851,-0.2024,-0.2135,0.08651,-1.795,-1.47
