t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
5712,2.4708,2.1505,1.9142,0.827,4.4656,-0.0089,-0.2825,0.07991,-0.006,-1.79
5813,2.4758,2.1505,1.9313,0.739,4.4656,0.003,-0.2801,0.07845,0.014,-1.764
5913,2.3803,2.2336,2.0053,0.7683,4.5217,-0.0374,-0.1088,0.01324,-0.094,-1.738
6014,2.4657,2.1408,1.9086,0.7683,4.4656,-0.0054,-0.2854,0.0815,-0.051,-1.797
6116,2.5914,2.3363,2.1646,0.7683,4.4656,0.0201,-0.1907,0.03675,-0.07,-1.793
6217,2.4004,2.2385,2.011,0.7683,4.4656,-0.0339,-0.1234,0.01638,-0.018,-1.697
6318,2.5914,2.3363,2.1589,0.7683,4.4656,0.0164,-0.1931,0.03757,0.148,-1.8
6417,2.3753,2.2287,1.9996,0.7683,4.4656,-0.0379,-0.109,0.01332,0.052,-1.738
6519,2.4456,2.2776,1.9029,0.7683,4.4656,-0.1274,-0.1932,0.05357,-0.133,-1.782
6619,2.5864,2.3314,2.1589,0.739,4.4656,0.0195,-0.1909,0.03681,0.073,-1.799
6720,2.3753,2.2239,2.0281,0.7683,4.4656,-0.0155,-0.0994,0.01011,-0.106,-1.734
6831,2.3501,2.2043,1.9996,0.7683,4.4656,-0.0224,-0.0977,0.01005,0.104,-1.77
6926,2.4607,2.1163,1.8744,0.7683,4.4656,-0.0078,-0.3087,0.09534,0.067,-1.783
7028,2.4104,2.1848,2.0281,0.7683,4.4656,0.024,-0.1553,0.02469,-0.055,-1.733
7130,2.5914,2.3314,2.1589,0.739,4.4656,0.0205,-0.1958,0.03876,0.18,-1.8
7231,2.3501,2.2141,2.0451,0.739,4.4656,-0.0013,-0.0727,0.00528,-0.022,-1.757
7332,2.4104,2.0968,2.0451,0.7683,4.4656,0.1086,-0.1961,0.05023,0.051,-1.765
7433,2.5864,2.3314,2.1362,0.739,4.4656,0.0049,-0.2007,0.04032,-0.0,-1.767
7531,2.3903,2.2385,2.0337,0.7683,4.4656,-0.0212,-0.1037,0.0112,-0.164,-1.704
7633,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,0.172,-1.8
7734,2.4054,2.2434,2.0622,0.7683,4.4375,-0.0041,-0.1034,0.01072,-0.02,-1.702
7835,2.3903,2.2287,2.0337,0.739,4.4656,-0.0131,-0.109,0.01205,-0.017,-1.74
7936,2.4104,2.1114,2.0622,0.7683,4.4656,0.1073,-0.1806,0.04414,0.049,-1.768
8044,2.3753,2.2385,2.0394,0.7683,4.4656,-0.0205,-0.0864,0.00788,-0.087,-1.718
8136,2.4507,2.1261,1.8744,0.7683,4.4656,-0.018,-0.2935,0.08644,0.124,-1.795
8243,2.4104,2.087,2.0394,0.7977,4.4656,0.1131,-0.2039,0.05436,-0.117,-1.763
8342,2.3501,2.2092,1.9768,0.739,4.4656,-0.0411,-0.1049,0.0127,0.056,-1.763
8440,2.4356,2.1017,1.9996,0.7683,4.4656,0.0801,-0.2378,0.06295,-0.045,-1.726
8550,2.5914,2.3314,2.1589,0.7683,4.4656,0.0205,-0.1958,0.03876,0.028,-1.798
8651,2.3753,2.2336,2.0337,0.7683,4.4656,-0.0201,-0.0915,0.00878,-0.031,-1.738
8742,2.4808,2.175,1.9256,0.7683,4.4375,-0.0201,-0.2741,0.07553,-0.067,-1.782
8853,2.4004,2.1701,2.0793,0.739,4.4656,0.0672,-0.1313,0.02175,-0.088,-1.651
8943,2.4406,2.1114,1.8858,0.739,4.5217,-0.0003,-0.2867,0.08219,-0.052,-1.793
9053,2.5864,2.3314,2.1476,0.7683,4.4656,0.0122,-0.1958,0.03849,0.024,-1.799
9156,2.3753,2.2336,2.0167,0.739,4.4656,-0.031,-0.0989,0.01075,0.051,-1.735
9254,2.4808,2.1799,1.9996,0.7683,4.4656,0.0234,-0.2393,0.05783,-0.033,-1.798
9357,2.3753,2.2287,1.9996,0.739,4.4656,-0.0379,-0.109,0.01332,-0.112,-1.721
9457,2.4758,2.1505,1.9142,0.7683,4.4656,-0.0079,-0.2875,0.0827,-0.057,-1.783
9558,2.5864,2.3314,2.1532,0.7683,4.4936,0.0159,-0.1933,0.03763,0.177,-1.8
9661,2.5864,2.3363,2.1703,0.7683,4.4656,0.0228,-0.1833,0.0341,-0.081,-1.763
9761,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,0.157,-1.8
9861,2.4004,2.2532,2.0394,0.7683,4.4656,-0.0279,-0.103,0.01139,-0.082,-1.722
9962,2.3853,2.2287,1.9996,0.7683,4.4656,-0.036,-0.1189,0.01543,0.051,-1.733
10063,2.5914,2.3314,2.1589,0.7683,4.4656,0.0205,-0.1958,0.03876,0.013,-1.8
10163,2.4205,2.0919,2.085,0.651,4.4656,0.1402,-0.1913,0.05628,0.022,-1.752
10271,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,-0.021,-1.786
10372,2.5914,2.3363,2.1476,0.739,4.4375,0.0091,-0.1981,0.03931,0.08,-1.8
10473,2.5814,2.3363,2.1305,0.7683,4.4656,-0.0038,-0.1956,0.03827,-0.052,-1.753
10574,2.3602,2.2239,1.9882,0.7683,4.4656,-0.0441,-0.1018,0.01231,-0.146,-1.738
10674,2.335,2.1945,1.9598,0.7683,4.4656,-0.0427,-0.1056,0.01297,0.013,-1.76
10776,2.4607,2.1457,1.8972,0.7683,4.4656,-0.0177,-0.2828,0.08026,-0.131,-1.785
10876,2.5964,2.3314,2.1589,0.7683,4.4656,0.0215,-0.2007,0.04076,0.184,-1.8
10977,2.4858,2.1799,2.0053,0.7683,4.4375,0.028,-0.2418,0.05926,0.029,-1.761
11078,2.3903,2.2385,2.0508,0.7683,4.4656,-0.0103,-0.0963,0.00937,-0.044,-1.727
11179,2.4305,2.0919,2.0565,0.7683,4.4656,0.1239,-0.2135,0.06095,-0.018,-1.768
11279,2.4054,2.2483,2.0508,0.7683,4.4656,-0.0155,-0.1057,0.01141,-0.16,-1.709
11380,2.5914,2.3363,2.1532,0.7683,4.4656,0.0128,-0.1956,0.03842,0.159,-1.8
11482,2.4155,2.0919,2.0622,0.7683,4.4656,0.1246,-0.1963,0.05406,0.055,-1.764
11586,2.335,2.1945,1.9598,0.7683,4.4656,-0.0427,-0.1056,0.01297,-0.009,-1.77
11686,2.4205,2.087,2.0451,0.7683,4.4656,0.1187,-0.2113,0.05873,0.032,-1.769
11786,2.3501,2.2092,2.0337,0.7683,4.4656,-0.0045,-0.0803,0.00646,-0.072,-1.77
11886,2.3451,2.1994,1.9711,0.7683,4.4656,-0.0375,-0.1078,0.01303,0.13,-1.77
11986,2.4305,2.1163,2.0337,0.7683,4.4656,0.0888,-0.21,0.05199,-0.003,-1.731
12088,2.4557,2.1261,1.8744,0.7683,4.4656,-0.017,-0.2984,0.08933,-0.018,-1.763
12196,2.5864,2.3363,2.1589,0.7683,4.4375,0.0154,-0.1882,0.03566,0.158,-1.8
12287,2.4406,2.0968,1.9711,0.7683,4.4656,0.0668,-0.2577,0.07089,-0.019,-1.726
12389,2.3602,2.2092,1.9825,0.739,4.4656,-0.0355,-0.1123,0.01388,0.093,-1.738
12490,2.2747,2.2043,1.5102,0.7683,4.4656,-0.3517,-0.2359,0.17932,-0.088,-1.781
12602,2.3903,2.2287,2.0167,0.739,4.4656,-0.024,-0.1164,0.01413,-0.118,-1.734
12703,2.5914,2.3363,2.1589,0.7683,4.4656,0.0164,-0.1931,0.03757,0.154,-1.8
12793,2.4808,2.1701,1.937,0.7683,4.4656,-0.0087,-0.2718,0.07397,-0.069,-1.795
12904,2.4657,2.1261,1.8915,0.7683,4.4656,-0.0041,-0.3009,0.09053,0.032,-1.786
