t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
28,2.3451,2.1408,2.1589,0.563,4.1851,0.1323,-0.0585,0.02093,1.079,-0.58
29,2.2395,1.9795,1.9199,0.563,4.1851,0.0931,-0.1469,0.03025,0.942,-0.728
31,2.144,2.0186,1.9484,0.563,4.1851,0.0602,-0.0195,0.004,1.156,-0.641
48,2.3401,2.1408,2.1476,0.563,4.1851,0.124,-0.0585,0.01881,1.008,-0.724
146,2.1742,1.9697,2.0167,0.563,4.1851,0.1509,-0.0462,0.02489,0.962,-0.54
244,2.3451,2.1457,2.1532,0.4457,4.2132,0.1246,-0.0583,0.01892,1.253,-0.585
346,2.3401,2.1408,2.1703,0.563,4.1851,0.1387,-0.0487,0.02159,1.077,-0.807
449,2.2245,1.9501,1.8858,0.563,4.1851,0.0928,-0.163,0.03517,1.109,-0.756
562,2.1289,2.043,1.9256,0.563,4.1851,0.0222,-0.0011,0.00049,0.918,-0.873
651,2.1993,1.9159,1.9882,0.563,4.1851,0.1824,-0.1126,0.04596,1.199,-0.66
753,2.1541,2.043,1.9882,0.563,4.1851,0.0673,0.0013,0.00453,0.945,-0.68
852,2.3401,2.1408,2.1532,0.563,4.1851,0.1277,-0.0561,0.01945,1.118,-0.579
954,2.134,2.0332,1.9711,0.563,4.1851,0.0606,0.0083,0.00375,1.128,-0.705
1056,2.2395,1.9795,1.9199,0.5044,4.1851,0.0931,-0.1469,0.03025,0.901,-0.717
1158,2.2446,1.9746,1.9768,0.563,4.1851,0.1348,-0.1298,0.03503,1.091,-0.75
1258,2.134,2.0235,1.9711,0.563,4.1851,0.0688,0.0029,0.00474,0.951,-0.87
1360,2.3401,2.1408,2.1646,0.563,4.1851,0.135,-0.0511,0.02084,1.338,-0.687
1461,2.2245,1.9599,1.9029,0.563,4.1851,0.0956,-0.1502,0.0317,1.012,-0.638
1564,2.2144,1.9404,1.9655,0.563,4.1851,0.1502,-0.1239,0.03793,0.919,-0.849
1663,2.1742,2.0528,2.0224,0.651,4.1851,0.085,0.0018,0.00723,0.878,-0.67
1765,2.2094,1.9453,1.863,0.651,4.1851,0.0793,-0.1607,0.03212,0.856,-0.758
1866,2.3501,2.1457,2.1589,0.563,4.1851,0.1292,-0.0608,0.02039,1.289,-0.612
1965,2.2446,1.9795,1.9199,0.5924,4.1851,0.0941,-0.1518,0.03191,1.06,-0.802
2072,2.2446,2.1017,1.9256,0.563,4.1851,-0.0045,-0.0825,0.00682,0.894,-0.869
2167,2.3401,2.1408,2.1646,0.563,4.1851,0.135,-0.0511,0.02084,1.002,-0.573
2273,2.1139,2.0137,1.9598,0.5337,4.1851,0.0658,0.0124,0.00448,0.857,-0.766
2364,2.3451,2.1408,2.1589,0.563,4.1851,0.1323,-0.0585,0.02093,1.327,-0.574
2473,2.1943,1.911,2.0508,0.563,4.1851,0.2258,-0.0833,0.05791,1.082,-0.755
2573,2.2094,1.999,1.937,0.563,4.1851,0.0819,-0.0992,0.01655,0.892,-0.93
2674,2.3451,2.1408,2.1589,0.563,4.1851,0.1323,-0.0585,0.02093,1.085,-0.583
2775,2.1792,1.9355,2.0167,0.563,4.1851,0.1805,-0.0699,0.03745,0.919,-0.719
2879,2.1742,1.955,2.0281,0.651,4.1851,0.1704,-0.0493,0.03148,1.268,-0.587
2981,2.2194,1.955,1.8573,0.563,4.1851,0.0694,-0.1677,0.03294,0.949,-0.737
3080,2.139,2.0283,1.9655,0.563,4.1851,0.062,-0.0018,0.00385,0.958,-0.896
3186,2.3451,2.1457,2.1476,0.4751,4.1851,0.1209,-0.0608,0.01831,1.221,-0.605
3286,0.1334,0.0,-0.4132,0.563,4.1851,-0.1588,-0.1759,0.05615,0.763,-1.125
3386,2.1541,2.0479,2.0224,0.5924,4.1851,0.0852,0.0188,0.00761,0.986,-0.865
3488,2.3401,2.1408,2.1532,0.6217,4.1851,0.1277,-0.0561,0.01945,1.259,-0.553
3594,2.2094,1.9501,1.9541,0.563,4.1851,0.1338,-0.1186,0.03196,1.136,-0.687
3715,2.1239,2.0186,1.9882,0.563,4.1851,0.0819,0.0175,0.00702,1.198,-0.679
3789,2.3401,2.1359,2.1874,0.563,4.1851,0.1537,-0.044,0.02556,1.091,-0.794
3895,2.1139,2.043,1.6468,0.563,4.1851,-0.16,-0.1072,0.0371,1.099,-0.728
3995,2.3451,2.1408,2.1589,0.563,4.1851,0.1323,-0.0585,0.02093,1.212,-0.558
4089,0.1384,0.0,-0.5099,0.5337,4.1851,-0.2201,-0.2227,0.09804,0.763,-0.889
4198,2.1591,2.0577,2.0622,0.563,4.1851,0.1036,0.0365,0.01207,1.191,-0.784
4294,2.1491,2.043,1.9939,0.563,4.1851,0.07,0.0087,0.00498,1.008,-0.73
4398,2.1088,2.0186,1.9711,0.563,4.1851,0.068,0.0249,0.00525,0.988,-0.821
4498,2.139,2.0088,1.9484,0.5337,4.101,0.0674,-0.0199,0.00494,1.204,-0.567
4603,2.2043,1.955,1.9086,0.5924,4.1851,0.0994,-0.1307,0.02697,0.944,-0.853
4706,2.2144,1.955,1.9427,0.563,4.1851,0.1233,-0.1258,0.03103,1.198,-0.788
4806,2.1893,1.8964,2.0281,0.563,4.1851,0.2224,-0.0962,0.05874,0.958,-0.672
4905,2.3401,2.1359,2.1646,0.563,4.1851,0.1391,-0.0538,0.02224,1.058,-0.749
5005,2.1491,2.0479,1.9939,0.563,4.1851,0.0659,0.0114,0.00448,1.23,-0.637
5106,2.1792,2.0626,2.0337,0.563,4.1851,0.0851,0.0071,0.00729,0.873,-0.765
5209,2.1591,2.0088,1.9484,0.563,4.1851,0.0713,-0.0396,0.00665,1.161,-0.694
5309,2.2395,1.9697,1.9029,0.563,4.1851,0.0903,-0.1597,0.03365,0.903,-0.631
5412,2.3401,2.1408,2.1646,0.5337,4.1851,0.135,-0.0511,0.02084,1.2,-0.648
5515,2.1842,1.9062,2.0736,0.563,4.1851,0.2426,-0.0662,0.06322,1.164,-0.654
5615,2.1742,1.955,2.0508,0.563,4.1851,0.1851,-0.0394,0.03581,0.974,-0.915
5717,2.1591,2.0137,1.9996,0.563,4.1851,0.1002,-0.0147,0.01025,1.006,-0.753
5817,2.1491,2.0577,2.0281,0.563,4.1851,0.0797,0.0316,0.00735,0.895,-0.694
5918,2.3451,2.1408,2.1589,0.563,4.1851,0.1323,-0.0585,0.02093,1.217,-0.641
6020,2.1591,2.0528,2.0679,0.563,4.2412,0.1114,0.0363,0.01372,1.086,-0.616
6121,2.2094,1.9306,1.9427,0.563,4.1851,0.1428,-0.1342,0.03841,1.024,-0.825
6221,2.1139,2.0235,1.9939,0.563,4.1851,0.0796,0.0325,0.00739,1.03,-0.607
6322,2.2245,1.955,1.9598,0.5337,4.1851,0.1363,-0.1282,0.03501,0.96,-0.821
6425,2.3451,2.1408,2.1532,0.563,4.1851,0.1286,-0.061,0.02027,1.276,-0.597
6527,2.1289,2.0235,1.9882,0.563,4.1851,0.0788,0.0153,0.00645,1.11,-0.575
6629,2.1591,2.0577,2.0622,0.5337,4.1851,0.1036,0.0365,0.01207,1.086,-0.551
6721,2.1591,2.043,1.9939,0.563,4.1851,0.072,-0.0011,0.00518,0.994,-0.766
6831,2.1842,1.9257,1.8858,0.563,4.1851,0.1054,-0.1369,0.02986,1.061,-0.8
6932,2.144,2.0283,1.9768,0.563,4.1851,0.0703,-0.0018,0.00495,0.933,-0.715
7036,2.3451,2.1408,2.176,0.563,4.1851,0.1433,-0.0511,0.02315,1.038,-0.674
7138,2.1692,2.0528,2.0053,0.563,4.1851,0.073,-0.0007,0.00534,1.165,-0.681
7235,2.2295,1.9697,1.9256,0.563,4.1851,0.103,-0.1399,0.03019,1.03,-0.722
7336,2.2295,1.9599,1.937,0.5337,4.1851,0.1185,-0.1403,0.03374,1.052,-0.841
7441,2.1541,2.043,2.0565,0.563,4.1851,0.1112,0.0309,0.01333,1.243,-0.632
7543,2.1792,1.9013,2.0451,0.5924,4.1851,0.2274,-0.0763,0.05752,1.072,-0.673
7647,2.1038,2.0088,2.0281,0.563,4.1851,0.1118,0.0492,0.01493,1.128,-0.683
7743,2.1742,2.0088,2.0394,0.563,4.1851,0.1328,-0.0149,0.01785,1.115,-0.937
7845,2.1943,1.9159,2.011,0.563,4.1851,0.1961,-0.0979,0.04802,1.02,-0.677
7948,2.1692,2.0577,2.0281,0.563,4.1851,0.0836,0.0118,0.00713,0.886,-0.767
8050,2.3451,2.1408,2.1532,0.563,4.1851,0.1286,-0.061,0.02027,1.29,-0.574
8151,2.2496,1.9892,1.9199,0.563,4.1851,0.0869,-0.1514,0.03048,0.998,-0.748
8253,2.2144,1.9404,1.9768,0.651,4.1851,0.1576,-0.119,0.03899,1.029,-0.942
8353,2.3451,2.1408,2.1532,0.563,4.1851,0.1286,-0.061,0.02027,1.096,-0.72
8456,2.139,2.0332,1.9825,0.563,4.1851,0.0689,0.0083,0.00482,0.824,-0.606
8559,2.3401,2.1408,2.1532,0.563,4.1851,0.1277,-0.0561,0.01945,1.286,-0.575
8659,2.2446,1.9795,1.9199,0.563,4.1851,0.0941,-0.1518,0.03191,1.006,-0.752
8753,2.1189,2.0235,1.9939,0.5337,4.1851,0.0805,0.0276,0.00725,0.952,-0.857
8856,2.335,2.1408,2.1703,0.563,4.1851,0.1377,-0.0437,0.02087,1.261,-0.57
8964,2.335,2.1408,2.1532,0.563,4.1851,0.1267,-0.0511,0.01867,0.931,-0.733
9057,2.2395,1.9746,1.9142,0.5337,4.1851,0.0935,-0.152,0.03187,1.234,-0.847
9158,2.1491,2.0039,2.011,0.563,4.1851,0.1137,-0.0053,0.01296,0.901,-0.856
9268,2.1239,2.0186,1.9711,0.5337,4.1851,0.071,0.0101,0.00514,1.097,-0.65
9364,2.3451,2.1408,2.1476,0.563,4.1851,0.125,-0.0635,0.01965,1.245,-0.578
9464,2.1491,2.0332,2.0508,0.563,4.1851,0.1148,0.028,0.01396,0.928,-0.591
9566,2.2345,1.9648,1.9199,0.563,4.1851,0.1044,-0.15,0.0334,1.088,-0.651
9673,2.3401,2.1408,2.176,0.5337,4.1851,0.1423,-0.0462,0.02239,1.06,-0.808
9768,2.1491,2.0479,2.0053,0.4751,4.1851,0.0732,0.0163,0.00563,0.907,-0.863
9873,2.2144,1.9404,1.8858,0.563,4.1851,0.099,-0.1585,0.03491,1.233,-0.6
9976,2.2194,1.9404,1.8801,0.563,4.1851,0.0963,-0.1659,0.03679,1.02,-0.691
10075,2.1842,1.911,2.0337,0.563,4.1851,0.2129,-0.0808,0.05184,0.915,-0.679
10177,2.3451,2.1457,2.1476,0.563,4.1851,0.1209,-0.0608,0.01831,1.258,-0.606
10281,2.2395,1.9795,1.9882,0.563,4.1851,0.137,-0.1173,0.03254,1.148,-0.801
10375,2.1139,2.0235,1.9655,0.563,4.1851,0.0613,0.0202,0.00416,1.023,-0.852
10476,2.3401,2.1408,2.1532,0.563,4.1851,0.1277,-0.0561,0.01945,1.165,-0.588
10577,2.2245,1.9501,1.9029,0.563,4.1851,0.1038,-0.1556,0.03497,1.036,-0.856
