t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
7,2.5713,2.4291,1.9882,0.7683,4.9985,-0.175,-0.1965,0.06924,-1.221,-1.744
11,2.6015,2.3803,1.9541,0.7683,4.9985,-0.1502,-0.2677,0.09422,-1.31,-1.8
13,2.6919,2.3705,1.9427,0.739,4.9985,-0.1318,-0.3667,0.15188,-1.273,-1.8
45,2.6919,2.3607,1.9541,0.7683,4.9985,-0.1163,-0.3672,0.14834,-1.286,-1.8
148,2.8076,2.5367,2.1532,0.7683,4.9985,-0.1131,-0.2979,0.10153,-1.142,-1.8
247,2.6668,2.3265,1.8915,0.7683,4.9704,-0.1328,-0.3884,0.16848,-1.363,-1.8
349,2.3602,2.3412,0.3494,0.6804,4.9985,-1.1962,-0.7479,1.9903,-1.486,-1.8
450,2.8076,2.5415,2.1646,0.7683,4.9985,-0.1098,-0.2903,0.09634,-1.183,-1.8
589,2.6568,2.3118,1.8972,0.7683,4.9985,-0.1188,-0.3841,0.16164,-1.259,-1.8
653,2.5462,2.3949,1.9598,0.7683,4.9985,-0.1695,-0.2029,0.06992,-1.194,-1.8
753,2.6769,2.346,1.9142,0.7683,4.9985,-0.1326,-0.3777,0.16021,-1.235,-1.8
851,2.6366,2.2776,2.0281,0.7683,4.9985,-0.0099,-0.3264,0.10661,-1.485,-1.8
950,2.6869,2.3363,1.8972,0.739,4.9985,-0.1334,-0.4003,0.17803,-1.494,-1.8
1056,2.6869,2.346,1.9313,0.7683,4.9985,-0.1197,-0.3801,0.15882,-1.314,-1.8
1161,2.6266,2.2678,2.0679,0.7683,4.9985,0.0219,-0.3046,0.09325,-1.288,-1.8
1261,2.8076,2.5367,2.1589,0.739,4.9985,-0.1094,-0.2954,0.09926,-1.114,-1.8
1365,2.5914,2.4291,1.9882,0.7683,4.9985,-0.1711,-0.2163,0.07604,-1.214,-1.8
1469,2.6769,2.346,1.9142,0.739,4.9985,-0.1326,-0.3777,0.16021,-1.296,-1.8
1565,2.5763,2.4291,1.9825,0.7683,4.9985,-0.1777,-0.2039,0.07315,-1.323,-1.8
1669,2.5612,2.3949,1.9484,0.739,4.9985,-0.1739,-0.2227,0.07983,-1.25,-1.8
1769,2.6668,2.3265,1.9142,0.7683,4.9985,-0.1182,-0.3785,0.15724,-1.29,-1.795
1870,2.6366,2.2923,2.0337,0.739,4.9985,-0.0185,-0.3159,0.10011,-1.389,-1.8
1968,2.5361,2.39,1.9427,0.7683,4.9985,-0.1783,-0.2032,0.07308,-1.301,-1.799
2072,2.8076,2.5367,2.1646,0.7683,4.9704,-0.1058,-0.293,0.09702,-1.243,-1.8
2170,2.6115,2.4242,2.0224,0.7683,4.9985,-0.1411,-0.2239,0.07004,-1.418,-1.8
2278,2.5612,2.4096,1.9768,0.7683,4.9704,-0.1679,-0.2023,0.06911,-1.119,-1.795
2379,2.6366,2.2972,2.0451,0.7683,4.9985,-0.0153,-0.3083,0.09525,-1.379,-1.8
2480,2.6366,2.2923,1.9711,0.7683,4.9985,-0.0588,-0.343,0.1211,-1.232,-1.8
2587,2.5361,2.3998,1.9939,0.7683,4.9985,-0.1536,-0.1756,0.05443,-1.322,-1.774
2685,2.697,2.3803,1.9427,0.7683,4.9985,-0.139,-0.3663,0.15352,-1.31,-1.8
2787,2.5964,2.4389,2.0053,0.7683,4.9985,-0.1673,-0.2084,0.07144,-1.288,-1.8
2887,2.8076,2.5367,2.1589,0.7683,4.9985,-0.1094,-0.2954,0.09926,-1.143,-1.8
2990,2.6568,2.3167,1.9199,0.827,4.9985,-0.1083,-0.3715,0.14976,-1.282,-1.8
3089,2.5411,2.39,1.9598,0.7683,4.9985,-0.1664,-0.2007,0.06796,-1.209,-1.8
3193,2.6668,2.3363,1.9484,0.7683,4.9985,-0.1044,-0.3584,0.13932,-1.361,-1.8
3297,2.6467,2.2923,2.011,0.7683,4.9985,-0.0312,-0.3356,0.1136,-1.236,-1.8
3400,2.6065,2.4096,2.0337,0.7683,4.9985,-0.1225,-0.222,0.06431,-1.28,-1.8
3493,2.6115,2.3167,2.0508,0.7683,4.9985,-0.0329,-0.2704,0.07421,-1.355,-1.8
3600,2.5562,2.4145,1.9882,0.7683,4.9704,-0.1656,-0.1898,0.06344,-1.155,-1.8
3702,2.8076,2.5367,2.1532,0.739,4.9985,-0.1131,-0.2979,0.10153,-1.095,-1.8
3806,2.6869,2.3558,1.9199,0.7683,4.9985,-0.1352,-0.3797,0.16245,-1.309,-1.8
3907,2.6266,2.3705,1.937,0.7683,4.9985,-0.1481,-0.3051,0.11503,-1.134,-1.8
4007,2.6165,2.522,2.0224,0.739,4.9704,-0.222,-0.1753,0.07998,-1.393,-1.772
4110,2.5462,2.4047,1.9768,0.7683,4.9985,-0.1667,-0.1902,0.06397,-1.339,-1.8
4210,2.5713,2.4242,1.9825,0.7683,4.9704,-0.1745,-0.2017,0.07114,-1.38,-1.8
4313,2.5462,2.4047,2.0337,0.6804,4.9985,-0.1301,-0.1655,0.04433,-1.347,-1.77
4418,2.6869,2.3558,1.9541,0.739,4.9985,-0.1132,-0.3649,0.14598,-1.143,-1.8
4518,2.8076,2.5415,2.1589,0.6804,4.9985,-0.1135,-0.2928,0.09859,-1.147,-1.8
4616,2.6919,2.3607,1.9825,0.7683,4.9985,-0.098,-0.3548,0.13552,-1.324,-1.8
4716,2.6869,2.3558,1.9256,0.739,4.9704,-0.1315,-0.3772,0.15961,-1.325,-1.8
4820,2.8076,2.5367,2.1476,0.739,4.9985,-0.1167,-0.3004,0.10385,-1.23,-1.8
4923,2.6869,2.346,1.9029,0.7683,4.9985,-0.138,-0.3925,0.17306,-1.387,-1.8
5023,2.8076,1.3881,2.1476,0.7683,4.9985,0.8443,-0.9294,1.57661,-1.101,-1.8
5126,2.5864,2.4291,2.0053,0.7683,4.9985,-0.1611,-0.2039,0.06753,-1.361,-1.79
5222,2.6618,2.3118,1.9029,0.739,4.9985,-0.1142,-0.3865,0.16246,-1.43,-1.8
5327,2.8025,2.5367,2.1589,0.7683,4.9985,-0.1104,-0.2905,0.09658,-1.122,-1.8
5426,2.6718,2.3265,1.8915,0.739,4.9985,-0.1318,-0.3933,0.17207,-1.4,-1.8
5552,2.5713,2.4096,2.0224,0.7683,4.9985,-0.1367,-0.1924,0.05571,-1.26,-1.8
5634,2.8076,2.5415,2.1589,0.739,4.9985,-0.1135,-0.2928,0.09859,-1.277,-1.8
5735,2.6467,2.3754,2.0053,0.7683,4.9985,-0.1044,-0.2926,0.09649,-1.261,-1.8
5839,2.6668,2.3167,1.8915,0.7683,4.9985,-0.1246,-0.3937,0.17056,-1.164,-1.8
5936,2.5713,2.4145,1.9768,0.739,4.9985,-0.17,-0.2095,0.0728,-1.308,-1.8
6043,2.6216,2.2678,2.0224,0.7977,4.9985,-0.0083,-0.3194,0.10208,-1.358,-1.8
6138,2.8076,2.5367,2.1532,0.739,4.9985,-0.1131,-0.2979,0.10153,-1.127,-1.8
6243,2.6015,2.4487,2.0451,0.7683,4.9985,-0.1489,-0.1908,0.05856,-1.439,-1.8
6343,2.5411,2.3949,1.9882,0.7683,4.9985,-0.1522,-0.1857,0.05764,-1.354,-1.8
6444,2.8025,2.5367,2.1532,0.739,4.9985,-0.114,-0.293,0.09884,-1.385,-1.8
6551,2.6718,2.3216,1.8858,0.7683,5.0546,-0.1314,-0.3985,0.17603,-1.331,-1.799
6646,2.5411,2.39,1.9541,0.7683,4.9985,-0.1701,-0.2032,0.07019,-1.156,-1.8
6752,2.6065,2.3998,1.9541,0.739,4.9704,-0.1656,-0.2619,0.09602,-1.341,-1.8
6852,2.5663,2.4145,1.9768,0.7683,4.9985,-0.171,-0.2046,0.07109,-1.322,-1.8
6955,2.7975,2.5415,2.1589,0.7683,4.9985,-0.1154,-0.2829,0.09336,-1.204,-1.8
7062,2.6618,2.3265,1.9484,0.7683,4.9985,-0.0972,-0.3588,0.13817,-1.285,-1.8
7155,2.6819,2.3803,1.9711,0.7683,4.9985,-0.1236,-0.3392,0.13034,-1.005,-1.8
7260,2.8076,0.391,2.1532,0.6804,4.9985,1.6822,-1.473,4.99947,-1.338,-1.8
7355,2.5914,2.434,2.0508,0.739,4.9985,-0.1349,-0.1865,0.05297,-1.35,-1.8
7460,2.6115,2.3803,2.0451,0.7683,4.9985,-0.0897,-0.2381,0.06473,-1.12,-1.8
7565,2.6568,2.3021,1.9313,0.7683,4.9985,-0.0887,-0.3746,0.14822,-1.355,-1.8
7663,2.702,2.3705,1.937,0.739,4.9985,-0.1335,-0.3791,0.16153,-1.29,-1.799
7767,2.8076,2.5415,2.1589,0.7683,4.9985,-0.1135,-0.2928,0.09859,-1.154,-1.8
7869,2.5914,2.434,1.9939,0.8563,4.9985,-0.1715,-0.2111,0.07399,-1.389,-1.8
7971,2.6417,2.2923,1.9939,0.7683,4.9704,-0.0432,-0.3381,0.11615,-1.124,-1.8
8071,2.5713,2.3851,1.9484,0.7683,4.9985,-0.1638,-0.2379,0.08342,-1.292,-1.8
8172,2.6819,2.3656,1.9541,0.7683,4.9985,-0.1224,-0.3546,0.14073,-1.241,-1.8
8274,2.5311,2.39,1.9655,0.7683,4.9985,-0.1647,-0.1884,0.0626,-1.359,-1.8
8375,2.8076,2.5415,2.1589,0.7683,4.9985,-0.1135,-0.2928,0.09859,-1.264,-1.8
8477,2.6668,2.3314,1.8801,0.7683,4.9985,-0.1442,-0.3906,0.17339,-1.366,-1.798
8577,2.5261,2.3851,1.9541,0.7683,4.9985,-0.1689,-0.191,0.06502,-1.379,-1.788
8678,2.6869,2.3607,1.937,0.7683,4.9985,-0.1283,-0.3696,0.15308,-1.255,-1.8
8779,2.5914,2.3754,1.8346,0.7683,4.9985,-0.2249,-0.3123,0.14811,-1.353,-1.8
8885,2.8076,2.5367,2.1589,0.7977,4.9985,-0.1094,-0.2954,0.09926,-1.113,-1.8
8987,2.6216,2.2678,2.0394,0.7683,4.9985,0.0027,-0.312,0.09734,-1.333,-1.8
9089,2.6417,2.2972,2.011,0.739,4.9985,-0.0363,-0.328,0.10889,-1.505,-1.8
9191,2.6718,2.3265,1.8915,0.7683,4.9985,-0.1318,-0.3933,0.17207,-1.435,-1.8
9290,2.5612,2.4096,1.9711,0.7683,4.9985,-0.1715,-0.2048,0.07136,-1.268,-1.8
9393,2.8076,2.5367,2.1532,0.739,4.9985,-0.1131,-0.2979,0.10153,-1.121,-1.8
9494,2.5663,2.4194,1.9939,0.7683,4.9985,-0.1641,-0.1945,0.06476,-1.437,-1.8
9594,2.6769,2.3412,1.8972,0.7683,4.9985,-0.1395,-0.3877,0.1698,-1.254,-1.8
9692,2.5814,2.5122,2.011,0.7683,4.9143,-0.2279,-0.151,0.07475,-1.422,-1.77
9792,2.5663,2.4291,1.9882,0.7683,4.9985,-0.1759,-0.1916,0.06767,-1.365,-1.8
9890,2.5462,2.4145,1.8687,0.7683,4.9985,-0.2444,-0.2317,0.11343,-1.138,-1.8
10000,2.5814,2.3949,2.0053,0.739,4.9985,-0.1334,-0.2177,0.06521,-1.332,-1.799
10102,2.6819,2.3412,1.9256,0.7683,4.9704,-0.1202,-0.3803,0.15911,-1.213,-1.8
10204,2.8076,2.5415,2.1532,0.7683,5.0546,-0.1172,-0.2952,0.10089,-1.139,-1.8
10305,2.6668,2.3265,1.9655,0.739,4.9424,-0.0852,-0.3563,0.13422,-1.391,-1.8
10400,2.6618,2.3265,1.9711,0.7683,4.9985,-0.0826,-0.3489,0.12856,-1.192,-1.8
10510,2.8076,2.5367,2.1589,0.739,4.9985,-0.1094,-0.2954,0.09926,-1.24,-1.799
10610,2.6869,2.3705,1.9199,0.739,4.9985,-0.1474,-0.3717,0.15988,-1.38,-1.8
10712,2.6316,2.2727,2.0906,0.7683,4.9704,0.0334,-0.297,0.08931,-1.451,-1.8
10812,2.5462,2.4047,2.0337,0.651,4.9985,-0.1301,-0.1655,0.04433,-1.289,-1.77
10915,2.697,2.3754,1.9427,0.7683,4.9704,-0.1349,-0.369,0.15437,-1.273,-1.8
11005,2.8076,2.5415,2.1589,0.7683,4.9985,-0.1135,-0.2928,0.09859,-1.311,-1.8
11112,2.6919,2.3558,1.9313,0.7683,4.9985,-0.1269,-0.3797,0.16028,-1.333,-1.8
11213,2.6718,2.3167,1.8972,0.7683,4.9985,-0.12,-0.3962,0.17137,-1.298,-1.8
11317,2.6869,2.3509,1.9313,0.7683,4.9985,-0.1238,-0.3775,0.15779,-1.301,-1.8
11420,2.5361,2.3851,1.9768,0.7683,4.9704,-0.1523,-0.191,0.05969,-1.363,-1.8
11520,2.8076,2.5367,2.1589,0.739,4.9985,-0.1094,-0.2954,0.09926,-1.128,-1.8
11621,2.6769,2.3314,1.8858,0.7683,4.9985,-0.1386,-0.398,0.17764,-1.363,-1.8
11724,2.6568,2.3607,1.7435,0.7683,4.9985,-0.2585,-0.4239,0.24654,-1.399,-1.8
11826,2.8076,2.5415,2.1589,0.739,4.9985,-0.1135,-0.2928,0.09859,-1.251,-1.8
11923,2.5713,2.4242,2.0451,0.739,4.9704,-0.1343,-0.1746,0.0485,-1.342,-1.77
12027,2.6266,2.3754,1.937,0.739,4.9704,-0.1522,-0.3024,0.11463,-1.21,-1.8
12127,2.6467,2.2972,1.863,0.739,4.9985,-0.1305,-0.397,0.17467,-1.303,-1.798
12229,2.6919,2.3607,1.9313,0.7683,4.9985,-0.131,-0.377,0.1593,-1.309,-1.8
12332,2.5864,2.4291,1.9939,0.739,4.9985,-0.1684,-0.2089,0.07198,-1.363,-1.8
12432,2.5663,2.4145,2.0167,0.7683,4.9985,-0.1454,-0.1873,0.05622,-1.346,-1.8
12553,2.6869,2.346,1.9029,0.739,4.9985,-0.138,-0.3925,0.17306,-1.136,-1.8
12637,2.8076,2.5367,2.1589,0.7977,4.9985,-0.1094,-0.2954,0.09926,-1.155,-1.8
12739,2.5964,2.4389,2.011,0.7683,4.9985,-0.1636,-0.206,0.06921,-1.438,-1.8
12841,2.6668,2.3265,1.8858,0.7683,4.9985,-0.1365,-0.3908,0.17138,-1.374,-1.8
12944,2.6919,2.3558,1.937,0.827,4.9985,-0.1232,-0.3772,0.15749,-1.234,-1.8
13043,2.5763,2.4291,1.9939,0.7683,4.9985,-0.1703,-0.199,0.06862,-1.307,-1.8
13138,2.8126,2.5415,2.1589,0.7683,4.9985,-0.1125,-0.2977,0.10129,-1.105,-1.8
13247,2.5512,2.3998,1.9711,0.739,4.9704,-0.1653,-0.2003,0.06743,-1.228,-1.8
13343,2.6819,2.3363,1.937,0.7683,4.9985,-0.1088,-0.3781,0.15479,-1.307,-1.8
13452,2.8076,2.5415,2.1646,0.739,4.9704,-0.1098,-0.2903,0.09634,-1.152,-1.8
13551,2.8076,2.5367,2.1589,0.7683,4.9704,-0.1094,-0.2954,0.09926,-1.328,-1.8
13647,2.6165,2.2874,2.0679,0.7683,4.9985,0.0036,-0.284,0.08068,-1.152,-1.796
13755,2.5914,2.4487,2.0565,0.7683,4.9985,-0.1435,-0.176,0.05156,-1.415,-1.776
13855,2.8025,2.5367,2.1532,0.7977,4.9985,-0.114,-0.293,0.09884,-1.426,-1.8
13959,2.5763,2.4194,1.9939,0.739,4.9985,-0.1622,-0.2044,0.06806,-1.331,-1.8
14061,2.6668,2.3216,1.9427,0.7683,4.9985,-0.0958,-0.3689,0.14523,-1.286,-1.8
14159,2.697,2.3803,1.9768,0.7683,4.9985,-0.1171,-0.3515,0.13728,-1.211,-1.8
14261,2.6015,2.4438,2.0508,0.7683,4.9985,-0.1411,-0.191,0.05639,-1.324,-1.8
14360,2.6869,2.3412,1.9199,0.7683,4.9985,-0.1229,-0.3877,0.16545,-1.214,-1.8
14462,2.5311,2.3949,2.0281,0.739,4.9985,-0.1285,-0.1586,0.04166,-1.276,-1.77
14567,2.8076,2.5367,2.1589,0.7977,4.9985,-0.1094,-0.2954,0.09926,-1.141,-1.8
14668,2.6819,2.3656,1.9882,0.739,4.9704,-0.1004,-0.3398,0.12556,-1.254,-1.8
14763,2.6819,2.3363,1.9199,0.7683,4.9985,-0.1198,-0.3855,0.16295,-1.307,-1.798
14869,2.5361,2.3949,1.9711,0.739,4.9704,-0.1641,-0.1882,0.06234,-1.204,-1.8
14977,2.5411,2.3949,1.9598,0.7683,4.9704,-0.1705,-0.198,0.06827,-1.234,-1.8
15068,2.8076,2.5367,2.1646,0.739,4.9985,-0.1058,-0.293,0.09702,-1.105,-1.8
15176,2.5512,2.3998,1.9598,0.739,4.9704,-0.1726,-0.2052,0.07191,-1.376,-1.8
15276,2.5914,2.434,1.9996,0.7683,4.9985,-0.1678,-0.2087,0.07171,-1.203,-1.8
15381,2.6065,2.4389,2.0167,0.7683,4.9985,-0.158,-0.2134,0.0705,-1.355,-1.8
