t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
6,2.5964,2.4829,2.0906,1.2669,4.1851,-0.1492,-0.1474,0.04398,-1.332,-1.173
6,2.4858,2.3069,1.9142,1.2962,4.129,-0.1369,-0.2117,0.06354,-1.38,-1.308
9,2.5864,2.4829,2.1532,1.2669,4.1851,-0.1109,-0.1104,0.02448,-1.339,-1.32
42,2.33,2.3412,1.9427,1.2669,4.1851,-0.1773,-0.0277,0.03222,-1.381,-1.315
147,1.7268,2.3167,1.368,1.2669,4.1851,-0.6433,0.3016,0.50478,-1.398,-1.301
245,2.4507,2.2581,1.8801,1.2669,4.1851,-0.1247,-0.2187,0.0634,-1.238,-1.238
346,2.4858,2.3167,1.9541,1.2669,4.1851,-0.1194,-0.1891,0.05,-1.183,-1.255
449,2.3401,2.346,1.9882,1.2669,4.1851,-0.1502,-0.0152,0.0228,-1.302,-1.361
550,2.4708,2.2923,1.9086,1.2962,4.1851,-0.1312,-0.2074,0.06021,-1.318,-1.327
659,2.5814,2.4829,2.1362,1.2669,4.1851,-0.1229,-0.1128,0.02782,-1.22,-1.23
751,2.3954,2.3803,1.9939,1.2669,4.1851,-0.1645,-0.0482,0.02938,-1.401,-1.183
853,2.4507,2.2581,1.8915,1.2669,4.1851,-0.1174,-0.2138,0.05949,-1.188,-1.259
956,2.5914,2.4829,2.1532,1.2669,4.1851,-0.1099,-0.1153,0.02538,-1.228,-1.259
1052,2.3099,2.3558,1.6297,1.2082,4.1851,-0.3948,-0.1356,0.17425,-1.388,-1.334
1156,2.4758,2.2825,1.9086,1.2669,4.1851,-0.122,-0.2177,0.06227,-1.166,-1.201
1276,2.3702,2.3558,1.9768,1.2669,4.2412,-0.1599,-0.0444,0.02753,-1.469,-1.25
1392,2.3753,2.3656,2.0053,1.2669,4.1851,-0.1488,-0.0316,0.02313,-1.382,-1.293
1460,2.5914,2.4829,2.1589,1.2962,4.1851,-0.1063,-0.1128,0.02402,-1.188,-1.161
