t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
8,2.5261,2.3851,2.1419,1.0029,4.1851,-0.0481,-0.1096,0.01434,-0.483,-1.095
10,2.3903,2.1701,1.863,1.0029,4.1851,-0.0738,-0.2151,0.05172,-0.72,-1.256
12,2.33,2.2385,2.0053,1.0029,4.1851,-0.0512,-0.0568,0.00585,-0.544,-1.172
44,2.4104,2.2043,1.9029,1.0029,4.1851,-0.0729,-0.1989,0.04485,-0.693,-1.304
146,2.4155,2.1799,1.8801,1.0029,4.1851,-0.0661,-0.227,0.05591,-0.591,-1.438
250,2.2948,2.2532,1.9541,1.0029,4.2412,-0.1032,-0.0365,0.01199,-0.586,-1.146
348,2.3702,2.1408,1.9541,1.0029,4.1851,0.0054,-0.172,0.02961,-0.609,-1.43
450,2.3753,2.1359,2.0281,1.0323,4.1851,0.0581,-0.1475,0.02514,-0.506,-1.265
551,2.2999,2.263,1.9825,1.0323,4.1851,-0.0921,-0.0237,0.00905,-0.729,-1.196
654,2.5261,2.3803,2.1646,1.0029,4.1851,-0.0294,-0.1025,0.01136,-0.551,-1.403
753,2.3451,2.1505,2.0565,1.0323,4.1851,0.0583,-0.0976,0.01292,-0.61,-1.067
855,2.5261,2.3803,2.1419,1.0029,4.1851,-0.044,-0.1123,0.01456,-0.478,-1.137
957,2.335,2.2385,1.9598,1.0029,4.1851,-0.0795,-0.0815,0.01296,-0.458,-1.28
1059,2.4054,2.1799,1.9256,1.0029,4.1851,-0.0388,-0.1974,0.04048,-0.572,-1.358
1157,2.5311,2.3851,2.1419,1.0029,4.1851,-0.0471,-0.1146,0.01535,-0.505,-1.283
1260,2.4004,2.1799,1.8687,1.0029,4.1851,-0.0763,-0.2172,0.05299,-0.716,-1.268
1357,2.4205,2.2092,1.9256,0.8856,4.1851,-0.0604,-0.1962,0.04213,-0.632,-1.419
1465,2.4104,2.2239,1.9142,1.0029,4.1851,-0.0819,-0.1832,0.04028,-0.674,-1.257
1563,2.3451,2.2434,2.0451,1.0029,4.1851,-0.0268,-0.0517,0.00339,-0.678,-1.17
1663,2.5261,2.3803,2.1476,1.0029,4.1851,-0.0404,-0.1099,0.0137,-0.504,-1.114
1768,2.3853,2.1554,1.9427,1.0029,4.1851,-0.0112,-0.1837,0.03387,-0.609,-1.203
