t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
5,2.511,2.3363,2.0736,0.739,4.7461,-0.0541,-0.1512,0.02579,-0.655,-1.565
7,2.6065,2.2776,1.9939,0.739,4.69,-0.0377,-0.3116,0.0985,-0.481,-1.8
10,2.4808,2.3167,1.9825,0.7683,4.718,-0.1021,-0.1718,0.03994,-0.745,-1.748
44,2.4607,2.3265,1.8744,0.739,4.718,-0.1837,-0.1936,0.07122,-0.783,-1.787
147,2.4858,2.3167,1.9996,0.7683,4.718,-0.0901,-0.1693,0.0368,-0.682,-1.739
245,2.7171,2.4389,2.1646,0.739,4.718,-0.0415,-0.2577,0.06815,-0.574,-1.798
348,2.4808,2.3216,1.9825,0.7683,4.718,-0.1062,-0.1691,0.03988,-0.59,-1.769
450,2.6015,2.2581,1.9939,0.7683,4.718,-0.0223,-0.3173,0.10121,-0.591,-1.799
552,2.521,2.346,2.0281,0.7683,4.7461,-0.0896,-0.1755,0.03881,-0.788,-1.758
654,2.5914,2.2434,1.9142,0.7683,4.718,-0.0633,-0.35,0.12653,-0.546,-1.795
754,1.4805,2.2239,1.5557,0.7683,4.718,-0.4925,0.5737,0.57176,-0.708,-1.736
856,2.7171,2.4389,2.1476,0.739,4.718,-0.0525,-0.2651,0.07305,-0.557,-1.794
957,2.521,2.3118,2.0167,0.7683,4.718,-0.0683,-0.1991,0.04431,-0.767,-1.786
1055,2.4758,2.3265,1.9768,0.8563,4.718,-0.1149,-0.164,0.04009,-0.717,-1.765
1159,2.5311,2.2043,2.0167,0.739,4.718,0.0237,-0.2679,0.07232,-0.703,-1.788
1261,2.7171,2.4438,2.1532,0.7683,4.718,-0.0529,-0.26,0.0704,-0.526,-1.8
1363,2.6065,2.263,1.9711,0.7683,4.718,-0.0401,-0.3295,0.11015,-0.654,-1.796
1462,2.5814,2.2239,1.9086,0.7683,4.718,-0.0525,-0.3534,0.12761,-0.599,-1.795
1563,2.6065,2.2581,1.9598,0.739,4.718,-0.0433,-0.3371,0.1155,-0.792,-1.795
1665,2.5512,2.1994,2.0508,0.7097,4.718,0.0536,-0.2755,0.07876,-0.709,-1.745
1769,2.7171,2.4438,2.1589,0.7683,4.718,-0.0492,-0.2575,0.06874,-0.489,-1.8
1870,2.5512,2.2825,1.937,0.7683,4.6619,-0.0891,-0.2793,0.08595,-0.671,-1.799
1963,2.712,0.3812,2.1589,0.7683,4.718,1.6756,-1.3821,4.71785,-0.681,-1.786
2068,2.7171,2.4438,2.1589,0.7683,4.718,-0.0492,-0.2575,0.06874,-0.561,-1.8
2173,2.4305,2.2923,1.9825,0.7683,4.718,-0.0914,-0.1359,0.02681,-0.708,-1.768
2269,2.7171,2.4389,2.1589,0.7683,4.718,-0.0451,-0.2602,0.06974,-0.491,-1.8
2367,2.7171,2.4438,2.1589,0.7683,4.718,-0.0492,-0.2575,0.06874,-0.507,-1.8
2468,2.5261,2.2287,2.0451,0.7977,4.718,0.0205,-0.2372,0.0567,-0.591,-1.77
2581,2.5814,2.2287,1.9711,0.7683,4.718,-0.0163,-0.3235,0.10495,-0.715,-1.794
2680,2.4456,2.2874,1.9882,0.739,4.718,-0.0807,-0.1509,0.02928,-0.627,-1.769
2772,2.4758,2.3118,1.9711,0.7683,4.718,-0.1063,-0.1745,0.04174,-0.714,-1.769
