t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
15,1.7318,1.8719,2.011,-0.0528,4.1851,0.1434,0.3318,0.13062,1.547,1.666
17,1.8977,1.9599,2.1646,-0.0528,4.1851,0.2007,0.2838,0.12081,1.8,1.8
19,1.7721,1.7449,2.0793,-0.0528,4.1851,0.3014,0.2523,0.15449,1.574,1.795
44,1.7369,1.8622,2.011,0.0059,4.1851,0.1525,0.3215,0.12661,1.58,1.791
145,1.9027,1.9599,2.1646,-0.0528,4.1851,0.2016,0.2789,0.11842,1.652,1.797
246,1.8223,1.8231,1.9199,-0.0528,4.1851,0.1432,0.1768,0.05176,1.614,1.78
346,1.767,1.828,2.0224,-0.0528,4.1851,0.1943,0.2781,0.11508,1.8,1.788
448,1.762,1.8768,2.0337,-0.0528,4.2132,0.1597,0.3147,0.12456,1.614,1.796
549,1.8022,1.8328,1.9598,-0.0528,4.1851,0.1568,0.2191,0.07258,1.584,1.788
651,1.8977,1.9599,2.1419,-0.0528,4.1851,0.186,0.2739,0.10964,1.791,1.8
754,1.7771,1.74,2.0565,-0.0528,4.1851,0.2918,0.2348,0.1403,1.563,1.8
856,1.8123,1.7986,1.9484,-0.0528,4.1851,0.18,0.1856,0.06684,1.758,1.788
956,1.7821,1.7449,2.0394,-0.0528,4.1851,0.2777,0.2252,0.12783,1.655,1.787
1057,1.7419,1.8671,2.0451,-0.0528,4.1851,0.1713,0.334,0.14093,1.682,1.8
1161,1.757,1.8817,2.011,-0.0528,4.1851,0.14,0.3125,0.11724,1.769,1.8
1263,1.7771,1.7546,2.0394,-0.0528,4.1851,0.2686,0.2355,0.12757,1.572,1.798
1364,1.762,1.8524,2.0281,-0.0528,4.1851,0.1765,0.2989,0.12048,1.718,1.798
1471,1.7369,1.8475,1.9939,-0.0528,4.1851,0.1538,0.3061,0.11732,1.605,1.795
1565,1.767,1.8133,2.0224,-0.0528,4.1851,0.2066,0.2701,0.1156,1.621,1.798
1669,1.8173,1.8133,1.9996,-0.0528,4.1851,0.2016,0.2109,0.08513,1.74,1.8
1769,1.7771,1.7644,2.0451,-0.0235,4.1851,0.264,0.2433,0.12891,1.537,1.799
1870,1.7771,1.7546,2.0565,-0.0528,4.2132,0.2795,0.2429,0.13713,1.664,1.798
1970,1.757,1.8719,1.9996,-0.0528,4.1851,0.1409,0.3022,0.11116,1.614,1.798
2074,1.7721,1.74,2.0337,-0.0528,4.1851,0.2762,0.2299,0.12914,1.69,1.798
2177,1.8223,1.828,1.9313,-0.0528,4.1851,0.1464,0.1844,0.05544,1.512,1.783
2276,1.9027,1.9599,2.1646,-0.0528,4.1851,0.2016,0.2789,0.11842,1.761,1.8
2372,1.762,1.828,1.937,-0.0528,4.1851,0.1384,0.246,0.07969,1.555,1.782
2476,1.7771,1.828,1.9484,-0.0528,4.1851,0.1487,0.2362,0.07787,1.717,1.776
2575,1.7419,1.7937,1.9484,-0.0528,4.1851,0.1705,0.2519,0.09254,1.566,1.799
2687,1.7721,1.7449,2.0679,-0.0528,4.1851,0.2941,0.2474,0.14767,1.453,1.604
2783,1.7972,1.7742,1.8972,-0.0821,4.1851,0.1646,0.1648,0.05425,1.642,1.768
2879,1.8173,1.7937,2.0053,-0.0528,4.1851,0.2217,0.2026,0.0902,1.669,1.8
2981,1.7871,1.7595,1.8915,-0.0528,4.1851,0.1713,0.1642,0.05628,1.697,1.765
3083,1.9027,1.9648,2.1532,-0.0528,4.2132,0.1902,0.2766,0.1127,1.798,1.8
3185,1.7369,1.8622,1.9825,-0.0528,4.1851,0.1342,0.3091,0.11358,1.611,1.786
3287,1.8173,1.7986,1.9199,-0.0235,4.1851,0.1627,0.1683,0.0548,1.68,1.738
3386,1.9027,1.9599,2.1589,-0.0821,4.1851,0.198,0.2764,0.11559,1.525,1.798
3488,1.7469,1.8817,1.9996,-0.0528,4.1851,0.1308,0.3174,0.11784,1.508,1.788
3591,1.9027,1.9599,2.1532,-0.0528,4.1851,0.1943,0.2739,0.1128,1.8,1.8
3697,1.8173,1.8084,1.9484,-0.0528,4.1851,0.1728,0.186,0.06446,1.573,1.787
3797,1.7821,1.7595,1.9996,-0.0528,4.1851,0.2398,0.216,0.10415,1.68,1.8
3896,1.7519,1.8768,1.9882,-0.0528,4.1851,0.1285,0.3048,0.10945,1.574,1.796
3997,1.8223,1.828,1.9484,0.0059,4.1851,0.1574,0.1918,0.06156,1.547,1.788
4099,1.7871,1.7498,2.0451,-0.0528,4.1851,0.2783,0.2254,0.12823,1.709,1.793
4200,1.8223,1.8133,1.9086,-0.0528,4.1851,0.1441,0.1665,0.04847,1.616,1.74
4302,1.9027,1.9599,2.1532,-0.0528,4.1851,0.1943,0.2739,0.1128,1.626,1.787
4403,1.7771,1.7595,2.0906,-0.0528,4.1851,0.2974,0.2603,0.15623,1.551,1.798
4505,1.9027,1.955,2.1476,-0.0528,4.1851,0.1947,0.2688,0.11017,1.639,1.799
4607,1.8123,1.8035,1.9256,-0.0528,4.1851,0.1613,0.1784,0.05783,1.603,1.766
4710,1.7519,1.74,2.0224,-0.0528,4.1851,0.265,0.2447,0.13009,1.43,1.783
4812,1.8173,1.8084,1.9313,-0.0528,4.1851,0.1618,0.1786,0.05809,1.63,1.778
4916,1.7067,1.8475,1.9313,-0.0528,4.2412,0.1077,0.3085,0.10678,1.596,1.8
5012,1.9027,1.9599,2.1589,-0.0528,4.1851,0.198,0.2764,0.11559,1.781,1.8
5119,1.7922,1.7791,1.8744,-0.0528,4.1571,0.1449,0.1625,0.04741,1.533,1.768
5229,1.8977,1.955,2.1589,-0.0528,4.1851,0.2011,0.2787,0.11809,1.8,1.8
5315,1.767,1.7595,2.0224,-0.0528,4.1851,0.2515,0.2406,0.12117,1.693,1.798
5416,1.8374,1.8182,1.9313,-0.0528,4.1851,0.1575,0.1642,0.05179,1.618,1.739
5522,1.8977,1.9599,2.1532,-0.0528,4.1851,0.1933,0.2789,0.11515,1.8,1.8
5628,1.7821,1.7351,2.0281,-0.0528,4.1851,0.2786,0.2149,0.12378,1.59,1.798
5730,1.8173,1.8133,1.9825,-0.0528,4.1851,0.1907,0.2035,0.07776,1.637,1.787
5829,1.7922,1.7693,1.8801,-0.0528,4.1851,0.1567,0.1596,0.05005,1.558,1.77
5931,1.7268,1.8622,2.011,-0.0528,4.1851,0.1506,0.3313,0.13246,1.521,1.795
6029,1.9027,1.9599,2.1532,-0.0528,4.1851,0.1943,0.2739,0.1128,1.8,1.8
6129,1.8022,1.7742,1.9029,-0.0528,4.1851,0.1692,0.1623,0.05499,1.65,1.758
6234,1.7771,1.7449,2.0508,-0.0528,4.1851,0.2841,0.2351,0.13594,1.589,1.8
6336,1.9027,1.9599,2.1532,-0.0528,4.1851,0.1943,0.2739,0.1128,1.774,1.8
6431,1.9027,1.9599,2.1589,-0.0528,4.1851,0.198,0.2764,0.11559,1.646,1.798
6532,1.757,1.74,2.0394,-0.0528,4.1851,0.2769,0.2472,0.13778,1.739,1.794
6634,1.8072,1.7889,1.9029,-0.0528,4.1851,0.1579,0.1654,0.05231,1.606,1.768
