t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
14,2.144,2.3998,1.9313,0.7683,3.3718,-0.2697,0.1819,0.10586,-1.547,0.678
16,2.2345,2.3167,1.8346,0.7683,3.3718,-0.2449,0.0057,0.06002,-1.8,1.187
18,2.2395,2.3314,1.8517,0.7683,3.3718,-0.2452,0.0162,0.06041,-1.8,0.911
40,2.1591,2.4145,1.9484,0.7683,3.3718,-0.2681,0.1826,0.10521,-1.8,1.376
139,2.1742,2.4242,1.9655,0.7683,3.3718,-0.2624,0.1805,0.10144,-1.799,1.185
241,2.2345,2.3363,1.846,0.7683,3.3718,-0.254,0.0214,0.06495,-1.788,0.969
342,2.1591,2.4096,1.9427,0.7683,3.3718,-0.2677,0.1774,0.10313,-1.8,1.192
449,2.2496,2.346,1.8972,0.7683,3.3718,-0.2263,0.0341,0.05237,-1.8,0.917
544,2.2295,2.2972,1.7606,0.7683,3.3718,-0.2771,-0.0321,0.07782,-1.798,1.025
648,2.1038,2.3656,1.9086,0.7683,3.3718,-0.2635,0.1928,0.10662,-1.798,1.048
747,2.3451,2.522,2.0963,0.7683,3.3718,-0.2269,0.1231,0.06665,-1.8,1.099
849,2.2194,2.2923,1.8118,0.7683,3.3718,-0.242,-0.0027,0.05859,-1.8,1.122
950,2.2043,2.2678,1.9996,0.7977,3.3718,-0.1037,0.0801,0.01717,-1.756,0.789
1052,2.1792,2.4145,1.9768,0.7683,3.3718,-0.2459,0.1752,0.09116,-1.8,1.124
1156,0.9075,2.1261,2.0963,0.7683,3.3718,-0.174,1.3167,1.76405,-1.759,0.867
1253,2.3501,2.522,2.0906,0.7683,3.3718,-0.2296,0.1157,0.06611,-1.8,1.076
1356,2.3501,2.522,2.102,0.739,3.3718,-0.2223,0.1206,0.06397,-1.799,1.164
1457,2.3451,2.522,2.0906,0.7683,3.3718,-0.2306,0.1206,0.06773,-1.8,1.175
1557,2.1139,2.3705,1.8972,0.7683,3.3718,-0.273,0.1807,0.10717,-1.8,1.086
1659,2.1943,2.3656,1.9313,0.7683,3.3718,-0.2314,0.1139,0.06651,-1.8,0.903
1765,2.3451,2.5073,2.0906,0.7683,3.3718,-0.2183,0.1126,0.06034,-1.8,1.136
1864,2.1239,2.3851,1.9256,0.7683,3.3718,-0.265,0.1912,0.10678,-1.799,1.098
1965,2.1993,2.2678,1.9882,0.7683,3.3718,-0.112,0.0801,0.01896,-1.768,1.196
2067,2.3451,2.5171,2.0963,0.7683,3.3718,-0.2228,0.1204,0.06416,-1.8,1.12
2166,2.2144,2.2874,1.9882,0.651,3.3718,-0.1255,0.076,0.02152,-1.77,1.181
2270,2.3501,2.522,2.0963,0.7683,3.3718,-0.226,0.1182,0.06502,-1.8,1.173
2369,2.1591,2.4096,1.937,0.7683,3.3718,-0.2713,0.1749,0.10424,-1.798,0.932
2467,2.2345,2.3167,1.8915,0.7683,3.3437,-0.2083,0.0304,0.04432,-1.787,1.159
2573,2.2245,2.3167,1.8289,0.7683,3.3718,-0.2505,0.0131,0.06294,-1.8,1.155
2674,2.1943,2.2678,1.9655,0.7683,3.3718,-0.1276,0.0751,0.02194,-1.768,0.852
2777,2.2345,2.3069,1.8517,0.7683,3.3718,-0.2258,0.0078,0.05103,-1.783,1.205
2879,2.2295,2.2923,1.846,0.7683,3.3718,-0.2181,0.0022,0.04759,-1.788,1.065
2977,2.1189,2.3754,1.9427,0.7683,3.3718,-0.2468,0.1981,0.10019,-1.8,1.224
3080,2.139,2.3998,1.9256,0.7683,3.3718,-0.2744,0.1844,0.10928,-1.799,1.078
3183,2.3551,2.522,2.102,0.7683,3.3718,-0.2213,0.1157,0.06237,-1.8,1.186
3283,2.2446,2.346,1.8687,0.7683,3.3718,-0.2456,0.0267,0.06101,-1.789,1.11
3384,2.1943,2.2678,1.9768,0.7683,3.3718,-0.1203,0.0801,0.02089,-1.769,0.731
3486,2.2295,2.3021,1.9199,0.739,3.3718,-0.1787,0.0396,0.03352,-1.79,1.029
3589,2.1692,2.3607,1.8801,0.7683,3.3718,-0.2651,0.1137,0.0832,-1.798,1.035
3687,2.3501,2.522,2.0963,0.7683,3.3718,-0.226,0.1182,0.06502,-1.8,1.041
3788,2.1742,2.4242,1.9996,0.7683,3.3718,-0.2404,0.1953,0.09596,-1.799,1.18
3893,2.1943,2.3558,1.9142,0.739,3.3718,-0.2342,0.1011,0.06507,-1.795,0.881
3990,2.1289,2.39,1.9086,0.7683,3.3718,-0.2791,0.1815,0.11085,-1.8,1.104
4096,2.1742,2.3949,1.9996,0.7683,3.3718,-0.2159,0.1793,0.07875,-1.8,1.026
4195,2.3451,2.522,2.0906,0.7683,3.3718,-0.2306,0.1206,0.06773,-1.8,1.218
4298,2.1742,2.4194,1.9768,0.7683,3.3718,-0.251,0.1828,0.0964,-1.798,1.149
4397,2.2194,2.3021,1.8289,0.7683,3.3718,-0.2392,0.01,0.05733,-1.788,1.15
4498,2.2194,2.2874,1.8175,0.7683,3.3718,-0.2343,-0.0029,0.0549,-1.8,1.081
4600,2.2295,2.3265,1.8346,0.7683,3.3718,-0.2541,0.016,0.06481,-1.788,1.07
4702,2.1692,2.4242,1.9768,0.7683,3.3718,-0.2561,0.1904,0.10181,-1.8,1.256
4806,2.2144,2.3607,1.9256,0.7683,3.3718,-0.2271,0.089,0.05948,-1.795,1.126
4904,2.1541,2.3998,1.9199,0.7683,3.3718,-0.2751,0.1671,0.10362,-1.788,1.061
5007,2.3551,2.522,2.102,0.7683,3.3718,-0.2213,0.1157,0.06237,-1.8,1.174
5109,2.1792,2.4291,1.9598,0.7683,3.3718,-0.2692,0.1758,0.10336,-1.799,1.161
5211,2.1239,2.4242,1.6297,0.7683,3.3718,-0.488,0.0843,0.2453,-1.8,1.075
5311,2.1692,2.3607,1.9256,0.7683,3.3718,-0.2358,0.1334,0.07341,-1.795,1.132
5410,2.1239,2.3754,1.9256,0.7683,3.3718,-0.2569,0.1858,0.10049,-1.798,1.059
5513,2.3501,2.522,2.102,0.739,3.3718,-0.2223,0.1206,0.06397,-1.8,1.204
5616,2.2395,2.3314,1.8801,0.7683,3.3718,-0.2269,0.0286,0.05232,-1.8,1.031
5715,2.1591,2.4145,1.9996,0.739,3.3718,-0.2352,0.2048,0.09724,-1.798,1.236
5816,2.3501,2.522,2.102,0.7683,3.3718,-0.2223,0.1206,0.06397,-1.8,1.103
5919,2.2094,2.2776,1.846,0.7683,3.2876,-0.2098,0.0139,0.04419,-1.799,1.334
