t_ms,eps_a,eps_g
4917,-0.12613,-0.15731
4939,0.02013,-0.13909
4961,-0.02205,-0.09634
4983,-0.13967,-0.15652
5006,-0.01279,-0.05703
5027,-0.10325,-0.13256
5050,0.00018,-0.07496
5072,0.00953,-0.08032
5095,-0.01386,-0.07437
5116,-0.0028,-0.06311
5139,-0.12087,-0.13335
5161,0.01246,-0.0782
5184,0.0391,-0.03809
5205,-0.01861,-0.09402
5228,-0.13048,-0.155
5250,-0.12329,-0.13527
5272,-0.02114,-0.10097
5294,-0.09369,-0.12991
5317,-0.07716,-0.1405
5339,-0.05441,-0.14572
5361,-0.00639,-0.08946
5384,0.01638,-0.06973
5406,-0.10518,-0.12832
5429,-0.00186,-0.07576
5450,0.00225,-0.04922
5473,-0.06857,-0.11925
5495,-0.0125,-0.06484
5518,-0.01477,-0.09654
5539,0.03408,-0.05795
5562,0.03865,-0.0502
5584,-0.01861,-0.09402
5606,0.02587,-0.10898
5628,-0.08565,-0.1258
5651,-0.02205,-0.09634
5673,0.03499,-0.06258
5695,0.02986,-0.05656
5717,0.06131,-0.15318
5740,-0.00868,-0.0614
5761,-0.01861,-0.09402
5784,-0.08719,-0.1264
5806,0.06416,-0.16205
5829,0.0627,-0.12075
5850,-0.02048,-0.052
5873,0.01353,-0.06086
5896,-0.06715,-0.12368
5918,-0.00753,-0.06398
5940,0.00266,-0.08495
5962,-0.01861,-0.09402
5985,0.05015,-0.11361
6006,0.00827,-0.08482
6029,0.00988,-0.07324
6051,0.04133,-0.05219
6074,-0.01821,-0.09885
6095,0.01598,-0.0649
6118,0.0043,-0.07933
6140,0.02519,-0.06933
6163,-0.11096,-0.12157
6184,0.00604,-0.07073
6207,0.03962,-0.0688
6229,-0.00347,-0.05643
6251,0.03803,-0.05543
6273,-0.01821,-0.09885
6296,0.01063,-0.03803
6318,0.00478,-0.07317
6340,-0.02549,-0.09866
6362,0.00964,-0.07529
6385,-0.02332,-0.07199
6408,0.01917,-0.06669
6429,0.06204,-0.0273
6452,-0.02348,-0.09191
6474,-0.0022,-0.08284
6496,0.0073,-0.06622
6518,-0.10722,-0.12912
6541,-0.00025,-0.06212
6563,-0.13644,-0.16427
6585,-0.02549,-0.09866
6607,0.00658,-0.07648
6630,0.03236,-0.04365
6652,-0.02165,-0.10117
6674,0.00499,-0.06311
6696,0.02318,-0.07608
6719,0.02234,-0.06046
6740,-0.00777,-0.06603
6763,-0.02205,-0.09634
6785,0.00169,-0.09932
6808,0.02685,-0.04081
6829,-0.01225,-0.08959
6852,0.01574,-0.069
6874,-0.12256,-0.12502
6897,0.01447,-0.07145
6918,0.0059,-0.06775
6941,-0.03997,-0.08933
6964,-0.02205,-0.09634
6985,0.02019,-0.06629
7008,0.00538,-0.12381
7030,0.05347,-0.0545
7053,0.03797,-0.19005
7074,-0.01953,-0.08939
7097,-0.03469,-0.15809
7119,-0.06594,-0.10727
7142,-0.01093,-0.09905
7163,0.02408,-0.13658
7186,0.00529,-0.07298
7208,-0.0173,-0.10349
7230,0.00174,-0.08032
7252,0.03188,-0.04981
7275,-0.01294,-0.1058
7297,0.0214,-0.19641
7319,-0.00132,-0.08151
7341,0.03018,-0.19005
7364,0.00461,-0.06629
7386,-0.01821,-0.09885
7408,-0.01367,-0.08926
7430,0.01536,-0.07013
7453,-0.02549,-0.09866
7475,0.01284,-0.07708
7497,0.01343,-0.06589
7520,-0.01861,-0.09402
7542,0.01189,-0.06649
7564,0.0323,-0.03174
7586,-0.01912,-0.09422
7609,0.02513,-0.17304
7631,-0.00084,-0.07536
7653,0.06124,-0.04855
7675,0.00483,-0.08714
7698,-0.01477,-0.09654
7719,-0.10921,-0.14182
7742,0.05114,-0.04544
7764,-0.01663,-0.08337
7787,0.00301,-0.07787
7808,-0.00812,-0.07516
7831,-0.02842,-0.10078
7853,0.00862,-0.07569
7876,0.01375,-0.08171
7897,-0.02165,-0.10117
7920,0.03102,-0.05914
7942,-0.01263,-0.06391
7964,-0.10043,-0.13547
7987,-0.01601,-0.08019
8009,-0.01133,-0.09422
8032,-0.03763,-0.1293
8053,0.02699,-0.04173
8076,-0.02205,-0.09634
8098,-0.00258,-0.08396
8121,0.04773,-0.05371
8142,-0.01225,-0.08959
8165,0.00628,-0.06662
8187,0.04719,-0.04795
8209,-0.02205,-0.09634
8231,-0.08246,-0.12759
8254,-0.12833,-0.14917
8276,-0.03685,-0.1021
8298,0.00263,-0.079
8320,-0.01426,-0.09634
8343,0.01179,-0.07152
8365,0.00563,-0.03499
8387,-0.02205,-0.09634
8409,-0.10043,-0.13547
8432,-0.07706,-0.10456
8453,-0.01821,-0.09885
8476,-0.05764,-0.10707
8499,0.00523,-0.06106
8521,0.03427,-0.04193
8543,0.00354,-0.08363
8565,0.00762,-0.05113
8588,0.15566,1.12782
8610,0.73941,-0.60386
8632,-0.01477,-0.09654
8654,-0.10537,-0.14434
8677,-0.03308,-0.17742
8699,-0.0177,-0.09866
8721,-0.11461,-0.13395
8743,-0.00734,-0.07682
8766,-0.00486,-0.08475
8787,-0.00352,-0.07337
8810,0.00236,-0.07509
8832,-0.01518,-0.09171
8855,-0.00035,-0.0692
8876,0.07422,-0.09739
8899,0.23001,1.03372
8921,0.21613,-0.25223
8944,-0.01861,-0.09402
8965,0.01544,-0.20567
8988,0.00494,-0.08211
9011,-0.02114,-0.10097
9032,0.00709,-0.07628
9055,-0.00395,-0.06259
9077,-0.02073,-0.1058
9100,-0.01107,-0.07132
9121,0.0377,-0.03961
9144,-0.01821,-0.09885
9166,-0.00403,-0.07357
9189,0.01464,-0.08039
9210,-0.02205,-0.09634
9233,0.00201,-0.19985
9255,-0.04915,-0.12176
9277,0.0116,-0.08754
9299,-0.00145,-0.08059
9322,-0.01174,-0.08939
9344,-0.11407,-0.13971
9366,0.06855,-0.08561
9388,-0.01634,-0.06232
9411,-0.13867,-0.15017
9433,-0.05734,-0.14784
9455,-0.01912,-0.09422
9477,0.00763,-0.08204
9500,-0.01059,-0.06312
9521,-0.01316,-0.08495
9544,-0.02428,-0.1152
9567,0.01286,-0.05213
9589,0.02124,-0.07185
9611,-0.10679,-0.1399
9633,0.01248,-0.0553
9656,-0.11114,-0.13759
9678,0.01907,-0.07172
9700,-0.01174,-0.08939
9722,0.01877,-0.06186
9745,-0.10771,-0.13527
9767,-0.11608,-0.14646
9789,0.03,-0.05954
9811,-0.0004,-0.08615
9834,-0.0177,-0.09866
9855,0.03566,-0.04041
9878,0.04399,-0.04616
9900,0.03502,-0.06854
9923,-0.10803,-0.15036
9944,-0.01426,-0.09634
9967,0.04106,-0.04828
9989,0.05651,-0.04735
10011,-0.02205,-0.09634
10033,-0.09607,-0.13779
10056,0.02874,-0.06199
10079,-0.02073,-0.1058
10101,0.02387,-0.05987
10123,-0.10062,-0.12058
10145,-0.02205,-0.09634
10168,-0.10478,-0.13315
10190,-0.10551,-0.1125
10212,0.04602,-0.13214
10234,0.00865,-0.08164
10257,0.00454,-0.07728
10279,0.04087,-0.03339
10302,-0.11063,-0.13739
10323,-0.11326,-0.14937
10346,-0.11176,-0.14282
10368,-0.1239,-0.1405
10391,-0.03884,-0.11276
10412,-0.01187,-0.09052
10435,0.01423,-0.07556
10457,-0.0173,-0.10349
10480,-0.01077,-0.07913
10502,0.01069,-0.0829
10524,0.02205,-0.0506
10547,-0.10437,-0.13798
10569,-0.01174,-0.08939
10592,-0.07779,-0.11482
10613,0.03913,-0.04405
10636,-0.00527,-0.07992
10658,-0.07848,-0.13103
10681,0.02178,-0.0467
10702,-0.05815,-0.10727
10725,-0.01352,-0.06523
10747,-0.02416,-0.05637
10770,-0.07394,-0.11733
10792,0.02369,-0.07588
10814,0.02143,-0.08674
10836,-0.09981,-0.13024
10859,-0.10975,-0.13607
10881,-0.02549,-0.09866
10903,-0.11034,-0.14725
10925,0.03762,-0.0506
10948,-0.01781,-0.10369
10970,0.00131,-0.06953
10993,-0.09933,-0.12409
11014,0.05264,-0.03888
11037,-0.13483,-0.15268
11060,-0.13977,-0.16155
11082,-0.11165,-0.13779
11105,0.00104,-0.06563
11126,0.0496,-0.04603
11149,-0.10446,-0.11806
11171,-0.04293,-0.08549
11194,-0.01477,-0.09654
11215,-0.10972,-0.14202
11238,-0.03828,-0.09767
11260,-0.01861,-0.09402
11283,-0.04372,-0.13764
11304,-0.00688,-0.0647
11327,-0.02205,-0.09634
11349,-0.09406,-0.13103
11372,0.0192,-0.07264
11393,-0.02974,-0.09131
11416,-0.02276,-0.17047
11438,-0.11114,-0.13759
11461,0.0605,-0.14352
11483,0.00035,-0.08184
11505,-0.12288,-0.14011
11528,-0.00169,-0.08264
11550,-0.0087,-0.08635
11573,0.85903,0.15456
11594,-0.02205,-0.09634
11617,-0.01477,-0.09654
11639,-0.02893,-0.10097
11662,-0.08082,-0.12196
11684,0.01203,-0.06742
11706,-0.0087,-0.08224
11728,-0.00358,-0.06146
11751,-0.07416,-0.12739
11773,0.02796,-0.06033
11795,-0.01301,-0.06504
11817,-0.09992,-0.13527
11840,0.0236,-0.05596
11862,0.01477,-0.08131
11885,0.1958,1.08838
11906,-0.02388,-0.08707
11929,-0.01477,-0.09654
11951,-0.02205,-0.09634
11974,0.01818,-0.07304
11995,-0.11012,-0.13719
12018,-0.02205,-0.09634
12041,-0.11165,-0.13779
12063,-0.05192,-0.10191
12085,0.04195,-0.04696
12107,-0.08474,-0.13044
12130,-0.02549,-0.09866
12152,0.01082,-0.08383
12175,-0.10975,-0.13607
12196,-0.02549,-0.09866
12219,0.03419,-0.05292
