t_ms,eps_a_brut,eps_g_brut,eps_a_filtre,eps_g_filtre
12448,-0.05987,-0.12183,-0.05299,-0.12183
12472,-0.09516,-0.14036,-0.05987,-0.14036
12496,-0.01245,-0.16352,-0.05987,-0.14036
12521,-0.15722,-0.08452,-0.09516,-0.14036
12545,-0.10195,-0.05135,-0.10195,-0.08452
12569,-0.04915,-0.11971,-0.10195,-0.08452
12594,0.01522,-0.18483,-0.04915,-0.11971
12618,-0.13769,-0.11291,-0.04915,-0.11971
12643,-0.05299,-0.11719,-0.05299,-0.11719
12666,-0.15964,-0.08644,-0.13769,-0.11291
12691,-0.15982,-0.10245,-0.15964,-0.10245
12715,-0.17358,-0.11172,-0.15982,-0.10245
12740,-0.03499,-0.03261,-0.15982,-0.10245
12764,-0.037,-0.03936,-0.037,-0.03936
12788,-0.1808,-0.09458,-0.037,-0.03936
12813,-0.17767,-0.19597,-0.17767,-0.09458
12836,-0.04955,-0.11488,-0.17767,-0.11488
12861,-0.01127,-0.17206,-0.04955,-0.17206
12885,-0.04005,-0.09826,-0.04005,-0.11488
12910,-0.18803,-0.07539,-0.04005,-0.09826
12934,-0.02137,-0.16895,-0.04005,-0.09826
12958,-0.15236,-0.08663,-0.15236,-0.08663
12983,-0.16267,-0.09358,-0.15236,-0.09358
13007,-0.15185,-0.08644,-0.15236,-0.08663
13031,-0.00802,-0.15485,-0.15185,-0.09358
13055,-0.0027,-0.17576,-0.00802,-0.15485
13080,-0.05047,-0.11024,-0.00802,-0.15485
13104,-0.14201,-0.11655,-0.05047,-0.11655
13128,-0.16015,-0.08664,-0.14201,-0.11024
13153,-0.13284,1.05312,-0.14201,-0.08664
13177,0.04705,-0.16265,-0.13284,-0.08664
13201,-0.03496,-0.15624,-0.03496,-0.15624
13225,-0.10311,-0.13554,-0.03496,-0.15624
13250,-0.13345,-0.05844,-0.10311,-0.13554
13275,-0.02024,-0.16352,-0.10311,-0.13554
13298,-0.05784,-0.03241,-0.05784,-0.05844
13323,-0.04092,-0.1614,-0.04092,-0.1614
13347,-0.0049,-0.16762,-0.04092,-0.1614
13371,-0.14719,-0.0139,-0.04092,-0.1614
13395,-0.09111,-0.10191,-0.09111,-0.10191
13420,0.00176,-0.17305,-0.09111,-0.10191
13445,0.00168,-0.15313,0.00168,-0.15313
13468,-0.10843,-0.02991,0.00168,-0.15313
13493,-0.03295,-0.11858,-0.03295,-0.11858
13517,-1.06379,-0.84439,-0.10843,-0.11858
13542,-0.02048,-0.16762,-0.03295,-0.16762
13565,-0.04612,-0.11256,-0.04612,-0.16762
13590,-0.08811,-0.20854,-0.04612,-0.16762
13614,-0.01796,-0.16067,-0.04612,-0.16067
13639,-0.04955,-0.11488,-0.04955,-0.16067
13663,-0.02792,-0.15849,-0.02792,-0.15849
13687,-0.00758,-0.19654,-0.02792,-0.15849
13712,0.01178,-0.15623,-0.00758,-0.15849
13735,-0.16329,-0.09881,-0.00758,-0.15623
13760,-0.14723,-0.06175,-0.14723,-0.09881
13784,-0.02878,-0.16782,-0.14723,-0.09881
13809,-0.16713,-0.0963,-0.14723,-0.0963
13833,-0.04955,-0.11488,-0.04955,-0.11488
13857,-0.01387,-0.15908,-0.04955,-0.11488
13882,-0.02545,-0.17054,-0.02545,-0.15908
13906,0.00222,-0.15888,-0.01387,-0.15908
13930,-0.02797,-0.17749,-0.02545,-0.17054
13954,-0.0249,-0.09158,-0.0249,-0.15888
13979,-0.05565,-0.00965,-0.02797,-0.09158
14003,-0.02268,-0.15948,-0.0249,-0.09158
14027,-0.07112,-0.00462,-0.05565,-0.00965
14052,-0.00664,-0.17828,-0.02268,-0.15948
14076,-0.05047,-0.11024,-0.05047,-0.11024
14100,-0.16692,-0.08624,-0.05047,-0.11024
14124,0.00112,-0.17027,-0.05047,-0.11024
14149,-0.05299,-0.11719,-0.05299,-0.11719
14174,-0.05734,-0.11488,-0.05299,-0.11719
14197,-0.07604,-0.10211,-0.05734,-0.11488
14222,-0.16955,-0.09822,-0.07604,-0.10211
14246,-0.01782,-0.1616,-0.07604,-0.10211
14270,-0.04955,-0.11488,-0.04955,-0.11488
14294,-0.02045,-0.17358,-0.02045,-0.1616
14319,-0.03303,-0.16048,-0.03303,-0.16048
14344,-0.01957,-0.17226,-0.02045,-0.17226
14367,-0.19064,-0.06242,-0.03303,-0.16048
14392,-0.05775,-0.11005,-0.05775,-0.11005
14416,-0.04515,-0.1023,-0.05775,-0.1023
14441,0.00603,-0.15544,-0.04515,-0.11005
14464,-0.15357,-0.10305,-0.04515,-0.10305
14489,-0.16362,-0.083,-0.15357,-0.10305
14514,0.0139,-0.17536,-0.15357,-0.10305
14537,-0.10806,-0.1135,-0.10806,-0.1135
14562,-0.13071,-0.07233,-0.10806,-0.1135
14586,-0.05299,-0.11719,-0.10806,-0.1135
14611,0.04965,0.26397,-0.05299,-0.07233
14634,0.81483,-0.68062,0.04965,-0.11719
14659,-0.01352,-0.18291,0.04965,-0.18291
14684,-0.17171,-0.04223,-0.01352,-0.18291
14708,0.0242,-0.19336,-0.01352,-0.18291
14732,-0.0291,-0.18291,-0.0291,-0.18291
14756,-0.04955,-0.11488,-0.0291,-0.18291
14781,-0.07021,-0.00925,-0.04955,-0.11488
14804,-0.01626,-0.16901,-0.04955,-0.11488
14829,-0.05391,-0.11256,-0.05391,-0.11256
14854,0.01076,-0.15663,-0.01626,-0.15663
14878,-0.00723,-0.18946,-0.00723,-0.15663
14902,-0.02185,-0.14419,-0.00723,-0.15663
14926,-0.01521,-0.17457,-0.01521,-0.17457
14951,0.00058,-0.16451,-0.01521,-0.16451
14975,-0.13884,1.08072,-0.01521,-0.16451
14999,-0.04842,-0.14036,-0.04842,-0.14036
15024,-0.04955,-0.11488,-0.04955,-0.11488
15048,-0.93828,-0.75033,-0.04955,-0.14036
15073,-0.06671,-0.0477,-0.06671,-0.11488
15096,-0.16015,-0.08664,-0.16015,-0.08664
15121,-0.01044,-0.15677,-0.06671,-0.08664
15145,-0.0168,-0.1612,-0.0168,-0.15677
15170,0.01035,-0.1518,-0.01044,-0.15677
15193,-0.05299,-0.11719,-0.0168,-0.1518
15218,-0.01059,-0.18079,-0.01059,-0.1518
15243,-0.14753,-0.08279,-0.05299,-0.11719
15266,-0.04114,-0.14055,-0.04114,-0.14055
15291,-0.16974,-0.08333,-0.14753,-0.08333
15315,-0.15872,-0.09107,-0.15872,-0.09107
15340,-0.1936,-0.02972,-0.16974,-0.08333
15363,-0.13462,-0.14057,-0.15872,-0.09107
15388,-0.16944,-0.09319,-0.16944,-0.09319
15413,-0.12596,-0.07948,-0.13462,-0.09319
15437,-0.05573,-0.10329,-0.12596,-0.09319
15461,-0.06584,-0.10019,-0.06584,-0.10019
15485,-0.03103,-0.061,-0.05573,-0.10019
15510,-0.05299,-0.11719,-0.05299,-0.10019
15534,-0.05488,-0.06716,-0.05299,-0.06716
15558,-0.00289,-0.16087,-0.05299,-0.11719
15583,0.00392,-0.19813,-0.00289,-0.16087
15607,-0.10367,-0.03705,-0.00289,-0.16087
15631,-0.03747,-0.10733,-0.03747,-0.10733
15655,-0.05102,-0.19331,-0.05102,-0.10733
15680,-0.14003,-0.10384,-0.05102,-0.10733
15704,-0.00557,-0.15683,-0.05102,-0.15683
15728,-0.14087,-0.05731,-0.14003,-0.10384
15753,-0.02873,-0.14883,-0.02873,-0.14883
15777,-0.04178,-0.02626,-0.04178,-0.05731
15802,-0.01895,-0.16703,-0.02873,-0.14883
15825,-0.07311,-0.09999,-0.04178,-0.09999
15850,-0.1827,-0.01159,-0.07311,-0.09999
15874,-0.01833,-0.1618,-0.07311,-0.09999
15898,0.01933,-0.16034,-0.01833,-0.16034
15923,-0.18183,-0.09498,-0.01833,-0.16034
15947,-0.00468,-0.18847,-0.00468,-0.16034
15972,-0.05747,-0.00038,-0.05747,-0.09498
15995,-0.04915,-0.11971,-0.04915,-0.11971
16020,-0.07018,-0.12878,-0.05747,-0.11971
16044,-0.01865,-0.2078,-0.04915,-0.12878
16069,-0.04915,-0.11971,-0.04915,-0.12878
16093,-0.02759,-0.05868,-0.02759,-0.11971
16117,-0.01973,-0.16332,-0.02759,-0.11971
16142,-0.02408,-0.161,-0.02408,-0.161
16165,-0.03415,-0.1659,-0.02408,-0.16332
16190,-0.0294,-0.17305,-0.0294,-0.1659
16214,-0.01613,-0.16994,-0.0294,-0.16994
16239,-0.166,-0.09087,-0.0294,-0.16994
16263,-0.04864,-0.11951,-0.04864,-0.11951
16287,-0.02099,-0.16782,-0.04864,-0.11951
16312,-0.1334,-0.04149,-0.04864,-0.11951
16336,-0.04783,-0.12917,-0.04783,-0.12917
16360,-0.01742,-0.16643,-0.04783,-0.12917
16384,-0.0053,-0.16279,-0.01742,-0.16279
16409,-0.15872,-0.09107,-0.01742,-0.16279
16433,-0.15225,-0.0816,-0.15225,-0.09107
16457,-0.00114,-0.15021,-0.15225,-0.09107
16482,-0.01645,-0.18503,-0.01645,-0.15021
16506,-0.04915,-0.11971,-0.01645,-0.15021
16530,-0.04103,-0.17054,-0.04103,-0.17054
16554,0.00083,-0.19131,-0.04103,-0.17054
16579,-0.04955,-0.11488,-0.04103,-0.17054
16604,-0.0031,-0.17093,-0.0031,-0.17093
16627,-0.15708,-0.11635,-0.04955,-0.11635
16652,-0.13026,-0.06022,-0.13026,-0.11635
16676,-0.01368,-0.17398,-0.13026,-0.11635
16701,-0.83866,-0.54759,-0.13026,-0.17398
16724,-0.04552,-0.16524,-0.04552,-0.17398
16749,-0.04571,-0.11739,-0.04571,-0.16524
16774,-0.96349,-0.53272,-0.04571,-0.16524
16797,-0.0233,-0.16471,-0.04571,-0.16471
16822,-0.04915,-0.11971,-0.04915,-0.16471
16846,-0.06373,0.00021,-0.04915,-0.11971
16871,-0.0128,-0.17265,-0.04915,-0.11971
16894,-0.04955,-0.11488,-0.04955,-0.11488
16919,-0.1976,-0.19366,-0.04955,-0.17265
16944,-0.00691,-0.20528,-0.04955,-0.19366
16968,-0.01736,-0.1804,-0.01736,-0.19366
16992,-0.0212,-0.17788,-0.01736,-0.1804
17016,-0.05218,-0.12686,-0.0212,-0.17788
17041,-0.03153,-0.12302,-0.03153,-0.12686
17065,-0.16242,-0.03567,-0.05218,-0.12302
17089,-0.03603,-0.17358,-0.03603,-0.12302
17113,-0.01731,-0.1614,-0.03603,-0.1614
17138,-0.04571,-0.11739,-0.03603,-0.1614
17162,-0.01392,-0.17808,-0.01731,-0.1614
17186,-0.17788,-0.09246,-0.04571,-0.11739
17211,-0.14643,-0.07141,-0.14643,-0.09246
17235,-0.01772,-0.15657,-0.14643,-0.09246
17259,-0.05724,-0.10985,-0.05724,-0.10985
17283,-0.0208,-0.18271,-0.0208,-0.15657
17308,-0.17664,-0.082,-0.05724,-0.10985
17333,-0.04571,-0.11739,-0.04571,-0.11739
17356,-0.18132,-0.06182,-0.17664,-0.082
17381,-0.04955,-0.11488,-0.04955,-0.11488
17405,-0.03157,-0.20178,-0.04955,-0.11488
17430,-0.1577,-0.09067,-0.04955,-0.11488
17453,-0.04297,-0.13129,-0.04297,-0.13129
17478,-0.16542,-0.07969,-0.1577,-0.09067
17503,-0.14906,-0.08339,-0.14906,-0.08339
17527,-0.02816,-0.16259,-0.14906,-0.08339
17551,-0.14244,-0.10576,-0.14244,-0.10576
17575,-0.01736,-0.1804,-0.02816,-0.16259
17600,-0.16702,-0.12218,-0.14244,-0.12218
17624,-0.07144,-0.13533,-0.07144,-0.13533
17648,-0.1743,-0.09107,-0.16702,-0.12218
17673,-0.07415,-0.01177,-0.07415,-0.09107
17697,-0.04955,-0.11488,-0.07415,-0.09107
17721,-0.0146,-0.16934,-0.04955,-0.11488
17745,-0.15862,-0.08604,-0.04955,-0.11488
17770,-0.05299,-0.11719,-0.05299,-0.11719
17794,0.01558,0.17118,-0.05299,-0.08604
17818,-0.0028,-0.18079,-0.0028,-0.11719
17843,-0.17452,-0.10113,-0.0028,-0.10113
17867,-0.17646,-0.06599,-0.17452,-0.10113
17892,-0.05299,-0.11719,-0.17452,-0.10113
17915,-0.00896,-0.17517,-0.05299,-0.11719
17940,-0.22344,-0.03714,-0.05299,-0.11719
17964,-0.01881,-0.19886,-0.01881,-0.17517
17989,-0.1107,-0.09662,-0.1107,-0.09662
18013,-0.05959,-0.01216,-0.05959,-0.09662
18037,0.05108,-0.18006,-0.05959,-0.09662
18062,-0.04955,-0.11488,-0.04955,-0.11488
18085,-0.04235,-0.16107,-0.04235,-0.16107
18110,-0.16388,-0.07909,-0.04955,-0.11488
18134,-0.05047,-0.11024,-0.05047,-0.11024
18159,-0.0064,-0.20508,-0.05047,-0.11024
18183,-0.06008,-0.01832,-0.05047,-0.11024
18207,-0.01019,-0.18562,-0.01019,-0.18562
18232,-0.16705,-0.08531,-0.06008,-0.08531
18255,-0.05312,-0.0027,-0.05312,-0.08531
18280,-0.15814,-0.07988,-0.15814,-0.07988
18304,-0.25874,-0.02477,-0.15814,-0.02477
18329,-0.05299,-0.11719,-0.15814,-0.07988
18353,-0.04317,-0.05869,-0.05299,-0.05869
18377,-0.03181,-0.17497,-0.04317,-0.11719
18402,-0.18465,-0.09207,-0.04317,-0.09207
18426,-0.04637,-0.20548,-0.04637,-0.17497
18450,-0.08552,-0.12878,-0.08552,-0.12878
18474,-0.163,-0.07777,-0.08552,-0.12878
18499,-0.00781,-0.14479,-0.08552,-0.12878
18524,-0.02432,-0.16511,-0.02432,-0.14479
18547,-0.03751,-0.15724,-0.02432,-0.15724
18572,-0.06584,-0.10019,-0.03751,-0.15724
18596,-0.1644,-0.07929,-0.06584,-0.10019
18620,-0.054,-0.03493,-0.06584,-0.07929
18644,-0.01726,-0.17537,-0.054,-0.07929
18669,-0.12368,-0.04573,-0.054,-0.04573
18694,-0.11519,-0.06042,-0.11519,-0.06042
18717,-0.15338,-0.08703,-0.12368,-0.06042
18742,-0.069,0.00716,-0.11519,-0.06042
18766,-0.02996,-0.15929,-0.069,-0.08703
18790,-0.15924,-0.09127,-0.069,-0.09127
18814,-0.1287,-0.06558,-0.1287,-0.09127
18839,-0.01014,-0.16663,-0.1287,-0.09127
18864,0.00896,-0.15332,-0.01014,-0.15332
18887,-0.04571,-0.11739,-0.01014,-0.15332
18912,-0.00248,-0.1657,-0.00248,-0.15332
18936,-0.14044,-0.0681,-0.04571,-0.11739
18961,-0.01694,-0.16028,-0.01694,-0.16028
18984,-0.00569,-0.10415,-0.01694,-0.10415
19009,0.00399,-0.15624,-0.00569,-0.15624
19033,-0.14573,-0.0552,-0.00569,-0.10415
19058,-0.01428,-0.15425,-0.01428,-0.15425
19082,-0.00864,-0.16008,-0.01428,-0.15425
19106,-0.15137,-0.08028,-0.01428,-0.15425
19131,-0.05299,-0.11719,-0.05299,-0.11719
19154,-0.14844,-0.07816,-0.14844,-0.08028
19179,-0.05086,-0.05366,-0.05299,-0.07816
19203,-0.05047,-0.11024,-0.05086,-0.07816
19228,-0.12737,-0.10596,-0.05086,-0.10596
19252,-0.05391,-0.11256,-0.05391,-0.11024
19276,-0.04177,-0.08397,-0.05391,-0.10596
19301,-0.13254,-0.06307,-0.05391,-0.08397
19325,-0.02166,-0.15909,-0.04177,-0.08397
19349,-0.01734,-0.15544,-0.02166,-0.15544
19373,-0.06148,-0.1025,-0.02166,-0.15544
19398,-0.16238,-0.07254,-0.06148,-0.1025
19422,-0.02551,-0.12566,-0.06148,-0.1025
19446,-0.05299,-0.11719,-0.05299,-0.11719
19471,-0.17613,-0.08181,-0.05299,-0.11719
19495,0.00372,-0.15233,-0.05299,-0.11719
19519,-0.19171,-0.08181,-0.17613,-0.08181
19543,-0.1558,-0.08895,-0.1558,-0.08895
19568,-0.18645,-0.08876,-0.18645,-0.08876
19593,-0.01731,-0.1614,-0.1558,-0.08895
19616,-0.04663,-0.11276,-0.04663,-0.11276
19641,-0.04268,-0.11024,-0.04268,-0.11276
19665,-0.0333,-0.15657,-0.04268,-0.11276
19690,-0.04864,-0.11951,-0.04268,-0.11951
19713,-0.13248,-0.07703,-0.04864,-0.11951
19738,-0.0229,-0.16954,-0.04864,-0.11951
19763,-0.14057,-0.06717,-0.13248,-0.07703
19787,-0.02075,-0.16372,-0.0229,-0.16372
19811,-0.06251,-0.19172,-0.06251,-0.16372
19835,0.01137,-0.1514,-0.02075,-0.16372
19860,-0.17785,-0.09842,-0.06251,-0.1514
