t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
15,2.2647,2.4047,2.1134,0.7683,3.6242,-0.1334,0.1452,0.03886,-1.289,1.077
19,2.0686,2.2874,1.9484,0.739,3.6522,-0.1793,0.2017,0.07285,-1.515,1.28
23,2.2094,2.4047,2.011,0.739,3.6242,-0.21,0.155,0.06811,-1.515,1.359
47,2.1641,2.2239,1.9029,0.7683,3.6522,-0.1369,0.0535,0.02161,-1.404,1.356
146,2.1541,2.2092,1.8915,0.739,3.6522,-0.1339,0.0504,0.02048,-1.417,1.319
249,2.1641,2.2336,1.9142,0.7683,3.6242,-0.1378,0.0638,0.02306,-1.362,1.412
347,2.1289,2.1505,1.9996,0.7683,3.7083,-0.0202,0.0898,0.00847,-1.378,1.422
448,2.1541,2.2141,1.8744,0.739,3.6242,-0.149,0.0457,0.02429,-1.499,1.252
551,2.0636,2.2678,1.937,0.7683,3.6522,-0.1712,0.191,0.06581,-1.493,1.326
648,2.0787,2.2923,1.9655,0.739,3.6522,-0.1705,0.2019,0.06984,-1.588,1.169
751,2.1088,2.1603,2.0224,0.7683,3.6242,-0.0176,0.1248,0.01587,-1.335,1.491
853,2.1189,2.1603,2.011,0.7683,3.6242,-0.023,0.11,0.01262,-1.486,1.514
956,2.2596,2.4047,2.102,0.7683,3.6522,-0.1417,0.1452,0.04114,-1.408,1.376
1050,2.0887,2.3069,1.9939,0.7683,3.6242,-0.1625,0.2124,0.07154,-1.447,1.287
1157,2.2596,2.4047,2.1362,0.7683,3.6522,-0.1197,0.16,0.03992,-1.394,1.222
1258,2.0988,2.3167,2.0337,0.7683,3.6522,-0.1431,0.2252,0.0712,-1.401,1.532
1357,2.1139,2.1457,1.9996,0.7683,3.6522,-0.019,0.1019,0.01075,-1.38,1.217
1461,2.0636,2.2776,1.9598,0.7683,3.6522,-0.1648,0.2062,0.06969,-1.524,1.481
1563,2.0234,2.1652,0.9639,0.7683,3.6242,-0.7189,-0.2475,0.57813,-1.566,1.268
1664,2.2647,2.4047,2.1248,0.7683,3.6522,-0.1261,0.1501,0.03842,-1.282,1.457
1767,2.0636,2.2776,1.937,0.7683,3.5681,-0.1794,0.1964,0.07076,-1.422,1.365
