t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
1,2.2898,2.2923,2.1476,0.7683,3.8766,-0.0125,0.0737,0.00559,-0.206,0.636
6,2.1692,2.0772,1.8573,0.739,3.9046,-0.0426,-0.0515,0.00446,-0.35,0.41
6,2.1792,2.1261,1.8972,0.7683,3.9046,-0.0559,-0.0173,0.00342,-0.181,0.617
35,2.0686,2.1652,1.9484,0.7683,3.9046,-0.0771,0.1348,0.02412,-0.242,0.572
146,2.0837,2.1799,2.0167,0.7683,3.9046,-0.0425,0.1576,0.02666,-0.417,0.319
243,2.2898,2.2923,2.1476,0.7683,3.9607,-0.0125,0.0737,0.00559,-0.139,0.722
347,2.1189,2.1799,2.0622,0.7683,3.9046,-0.0064,0.1429,0.02045,-0.323,0.41
447,2.1792,2.1114,2.0167,0.7683,3.9046,0.0332,0.0265,0.00181,-0.222,0.611
546,2.1893,2.1114,1.9142,0.7683,3.9046,-0.0307,-0.0278,0.00171,-0.323,0.596
647,2.134,2.1163,2.0281,0.651,3.9046,0.0277,0.0785,0.00693,-0.219,0.388
746,2.1189,2.1994,2.0224,0.7683,3.9046,-0.0484,0.1363,0.02092,-0.177,0.738
854,2.134,2.0528,2.0281,0.7683,3.9046,0.0809,0.0437,0.00845,-0.212,0.509
950,2.1993,2.131,1.9427,0.739,3.9046,-0.0268,-0.0146,0.00093,-0.259,0.653
1056,2.1792,2.0968,1.8858,0.7977,3.9046,-0.0387,-0.0383,0.00296,-0.317,0.607
1156,2.1842,2.1163,1.9256,0.7683,3.9327,-0.0284,-0.0152,0.00104,-0.376,0.39
1256,2.139,2.0381,2.0281,0.7683,3.9046,0.0941,0.0307,0.0098,-0.147,0.658
1356,2.1541,2.0674,2.0451,0.7683,3.9607,0.0835,0.0394,0.00852,-0.251,0.466
1454,2.1289,2.1603,2.0508,0.7683,3.9046,0.0046,0.1174,0.01379,-0.108,0.603
1557,2.0837,2.1652,2.011,0.7683,3.9046,-0.0339,0.1472,0.0228,-0.321,0.661
1663,2.2898,2.2923,2.1532,0.7683,3.9046,-0.0088,0.0762,0.00589,-0.203,0.454
1764,2.1742,2.1017,1.9598,0.7683,3.9046,0.0038,0.0014,2e-05,-0.23,0.718
1864,2.0686,2.1554,2.011,0.7683,3.9046,-0.0286,0.1566,0.02534,-0.303,0.589
1964,2.0887,2.175,1.9768,0.739,3.9046,-0.0631,0.1328,0.02161,-0.249,0.61
2068,2.2848,2.2972,2.1419,0.739,3.9046,-0.0212,0.0789,0.00667,-0.302,0.573
2167,2.2848,2.2972,2.1476,0.7683,3.9046,-0.0176,0.0814,0.00693,-0.169,0.655
2272,2.1541,2.0674,1.9484,0.7683,3.9327,0.0213,-0.0026,0.00046,-0.288,0.643
2371,2.134,2.043,2.0167,0.7683,3.9046,0.0817,0.0334,0.00779,-0.351,0.239
2471,2.144,2.1408,1.9825,0.7683,3.9046,-0.0201,0.0623,0.00428,-0.333,0.628
2570,2.0887,2.1799,1.9768,0.7683,3.9046,-0.0671,0.1355,0.02286,-0.318,0.742
2672,2.1792,2.1065,1.9598,0.739,3.9046,0.0007,-0.0009,0.0,-0.2,0.612
2780,2.0887,2.1554,1.9427,0.7683,3.9046,-0.0687,0.1073,0.01622,-0.279,0.425
2879,2.0988,2.1799,2.0224,0.739,3.9046,-0.0359,0.1453,0.02241,-0.269,0.708
2975,2.0737,2.1701,2.0167,0.7683,3.9046,-0.0363,0.1622,0.02761,-0.314,0.453
3082,2.1289,2.0577,2.0337,0.7683,3.9046,0.0795,0.0537,0.0092,-0.353,0.458
3178,2.2898,2.2923,2.1476,0.7683,3.9046,-0.0125,0.0737,0.00559,-0.142,0.72
3284,2.1792,2.1065,1.9655,0.7683,3.9327,0.0044,0.0016,2e-05,-0.279,0.503
3384,2.1641,2.0674,1.9029,0.7683,3.9327,-0.0061,-0.0321,0.00107,-0.17,0.62
3489,2.1742,2.1065,1.8744,0.739,3.9046,-0.0551,-0.0329,0.00412,-0.395,0.542
3587,2.1189,2.2092,2.0224,0.7683,3.9046,-0.0566,0.1417,0.02327,-0.243,0.731
3687,2.1139,2.1994,2.0053,0.7683,3.9046,-0.0603,0.1338,0.02155,-0.427,0.636
3791,2.2898,2.2923,2.1476,0.827,3.9046,-0.0125,0.0737,0.00559,-0.141,0.709
3890,2.1591,2.0821,1.846,0.7683,3.9607,-0.0559,-0.0439,0.00505,-0.196,0.727
3996,2.1893,2.131,1.9882,0.7683,3.9046,0.0005,0.015,0.00022,-0.333,0.385
4093,2.1641,2.0723,1.9086,0.7683,3.9046,-0.0065,-0.027,0.00077,-0.212,0.474
4189,2.1541,2.0674,2.0281,0.7683,3.9607,0.0725,0.032,0.00628,-0.312,0.583
4292,2.2898,2.2923,2.1362,0.7683,3.9046,-0.0198,0.0688,0.00513,-0.18,0.682
4397,2.1842,2.1017,1.9598,0.739,3.9046,0.0058,-0.0085,0.00011,-0.216,0.585
4500,2.0837,2.1652,1.9655,0.7683,3.9046,-0.0632,0.1274,0.02023,-0.357,0.607
4599,2.1742,2.1408,1.9313,0.7683,3.9046,-0.0472,0.0105,0.00233,-0.301,0.517
4701,2.1541,2.0674,1.8687,0.7683,3.9046,-0.03,-0.0371,0.00227,-0.391,0.389
4799,2.2948,2.2923,2.1476,0.7683,3.9607,-0.0115,0.0688,0.00487,-0.159,0.681
4905,2.0686,2.1603,1.9598,0.7683,3.9607,-0.0657,0.1371,0.0231,-0.312,0.428
4996,2.0938,2.1799,1.9882,0.7683,3.9046,-0.0589,0.1355,0.02181,-0.381,0.35
5108,2.2898,2.2874,2.1419,0.7977,3.9046,-0.0121,0.0686,0.00485,-0.129,0.684
5209,2.2697,2.2923,1.9598,0.7683,3.9046,-0.1372,0.0121,0.01896,-0.301,0.556
5308,2.0636,2.1652,2.0224,0.7683,3.9046,-0.0305,0.1718,0.03045,-0.295,0.495
5413,2.0938,2.1848,1.9711,0.7683,3.9046,-0.0739,0.1307,0.02256,-0.308,0.494
5516,2.1591,2.0821,1.8517,0.7683,3.9046,-0.0522,-0.0414,0.00444,-0.51,0.471
5618,2.0988,2.1945,1.9939,0.7683,3.9046,-0.0665,0.141,0.02431,-0.346,0.666
5709,2.0686,2.1505,1.9541,0.739,3.9046,-0.0611,0.1293,0.02044,-0.295,0.311
5814,2.144,2.0332,2.0736,0.7683,3.9046,0.1285,0.0428,0.01834,-0.218,0.716
5914,2.1239,2.2043,2.0565,0.7683,3.9046,-0.0296,0.1488,0.02303,-0.371,0.596
6011,2.1842,2.1017,1.9199,0.7683,3.9046,-0.0198,-0.0257,0.00106,-0.179,0.541
6113,2.134,2.0723,2.0394,0.7683,3.9046,0.0718,0.0593,0.00868,-0.114,0.45
6215,2.1993,2.1359,1.9541,0.739,3.9046,-0.0236,-0.007,0.0006,-0.254,0.503
6320,2.0787,2.1652,1.9996,0.7683,3.8766,-0.0422,0.1472,0.02343,-0.281,0.677
6423,2.2848,2.2874,2.1532,0.7977,3.9046,-0.0057,0.0785,0.00619,-0.234,0.46
6524,2.1139,2.1652,2.0451,0.7683,3.9046,-0.0061,0.1324,0.01756,-0.234,0.621
6626,2.1289,2.2043,2.0053,0.7683,3.9046,-0.0615,0.1217,0.0186,-0.12,0.711
6727,2.1239,2.1163,2.0167,0.7683,3.9046,0.0184,0.0834,0.0073,-0.261,0.698
6825,2.0988,2.1945,2.0451,0.651,3.9046,-0.0336,0.1632,0.02777,-0.303,0.46
6926,2.2848,2.2923,2.1362,0.739,3.9046,-0.0208,0.0737,0.00587,-0.158,0.73
7030,2.1641,2.0674,1.9427,0.739,3.9046,0.0195,-0.0149,0.0006,-0.35,0.452
7134,2.0887,2.1408,1.9427,0.7683,3.9046,-0.0564,0.0992,0.01303,-0.195,0.528
7238,2.2898,2.2923,2.1476,0.739,3.9046,-0.0125,0.0737,0.00559,-0.175,0.657
7336,2.2948,2.2923,2.1305,0.7683,3.9046,-0.0225,0.0614,0.00428,-0.304,0.611
7438,2.144,2.0528,2.0281,0.7683,3.9046,0.0828,0.0338,0.008,-0.284,0.494
7541,2.2948,2.2923,2.1419,0.7683,3.9046,-0.0152,0.0663,0.00463,-0.162,0.679
7639,2.0586,2.1652,1.9655,0.7683,3.9046,-0.068,0.1521,0.02776,-0.336,0.641
7742,2.0787,2.1652,1.9768,0.7683,3.9046,-0.0568,0.1373,0.02208,-0.346,0.473
7848,2.1842,2.1261,1.9882,0.7683,3.9046,0.0036,0.0172,0.00031,-0.219,0.578
7939,2.1139,2.2092,2.011,0.7683,3.9046,-0.0649,0.1417,0.02427,-0.386,0.548
8050,2.2898,2.2923,2.1476,0.7683,3.9046,-0.0125,0.0737,0.00559,-0.159,0.192
8148,1.1085,1.9257,2.1532,0.7683,3.9046,0.0692,1.0344,1.07474,-0.189,0.457
8248,2.1792,2.1114,1.9427,0.7683,3.9046,-0.0143,-0.0056,0.00024,-0.127,0.666
8355,2.1591,2.0626,2.0736,0.739,3.9046,0.1068,0.0441,0.01336,-0.278,0.482
8454,2.1591,2.0821,1.9029,0.651,3.9046,-0.0193,-0.0192,0.00074,-0.264,0.53
8554,2.2898,2.2923,2.1476,0.7683,3.9046,-0.0125,0.0737,0.00559,-0.131,0.741
8655,2.1943,2.1261,1.9484,0.739,3.9046,-0.02,-0.0099,0.0005,-0.267,0.56
8760,2.1842,2.0968,1.9655,0.7683,3.9046,0.0135,-0.0087,0.00026,-0.343,0.386
8862,2.2999,2.2972,2.1476,0.7683,3.9046,-0.0146,0.0666,0.00464,-0.161,0.65
8962,2.1943,2.1261,1.9199,0.7683,3.9046,-0.0383,-0.0222,0.00196,-0.224,0.487
9059,2.1139,2.1994,1.9939,0.739,3.8766,-0.0677,0.1289,0.02119,-0.312,0.476
9166,2.1139,2.2092,2.0281,0.7683,3.9046,-0.0539,0.1491,0.02512,-0.33,0.603
9267,2.139,2.0626,2.0167,0.7683,3.9046,0.0663,0.0392,0.00594,-0.274,0.618
9374,2.2898,2.2923,2.1476,0.7683,3.9046,-0.0125,0.0737,0.00559,-0.134,0.728
9463,2.0887,2.1799,1.9598,0.739,3.9327,-0.0781,0.1281,0.0225,-0.252,0.623
9562,2.1993,2.131,1.9768,0.7683,3.9046,-0.0048,0.0002,2e-05,-0.335,0.391
9672,2.2898,2.2923,2.1476,0.7683,3.9046,-0.0125,0.0737,0.00559,-0.18,0.595
9769,2.1842,2.1114,1.9655,0.7977,3.9046,0.0013,-0.0007,0.0,-0.244,0.419
9871,2.2948,2.2972,2.1419,0.7683,3.9046,-0.0193,0.069,0.00514,-0.138,0.713
9973,2.1792,2.1114,1.9086,0.7683,3.9046,-0.0363,-0.0204,0.00173,-0.363,0.69
10075,2.1239,2.1799,2.0281,0.7683,3.9046,-0.0274,0.1231,0.01591,-0.286,0.558
10174,2.2898,2.2923,2.1532,0.739,3.9046,-0.0088,0.0762,0.00589,-0.179,0.732
10276,2.1038,2.1945,2.0053,0.7683,3.9046,-0.0582,0.141,0.02327,-0.315,0.54
10377,2.1742,2.087,1.9313,0.7977,3.9046,-0.0022,-0.019,0.00036,-0.13,0.695
10487,2.2848,2.2923,2.1419,0.7683,3.8486,-0.0171,0.0762,0.0061,-0.27,0.686
10583,2.1641,2.0821,1.9655,0.7977,3.9046,0.0219,0.003,0.00049,-0.19,0.361
10683,2.2898,2.2874,2.1419,0.7097,3.9046,-0.0121,0.0686,0.00485,-0.135,0.698
10779,2.1591,2.0968,1.9768,0.739,3.9046,0.016,0.0209,0.00069,-0.245,0.558
10879,2.0988,2.1896,1.9939,0.7683,3.9046,-0.0624,0.1383,0.02303,-0.214,0.671
10988,2.1591,2.0626,1.9996,0.7683,3.9046,0.0593,0.012,0.00366,-0.332,0.743
11089,2.1038,2.1848,1.9711,0.7683,3.9046,-0.072,0.1209,0.01979,-0.358,0.643
11187,2.1943,2.1212,1.9939,0.739,3.8766,0.0133,0.0072,0.00023,-0.149,0.617
11290,2.0837,2.1701,2.0281,0.651,3.9046,-0.027,0.1572,0.02545,-0.26,0.502
11387,2.139,2.1017,2.0451,0.7683,3.9046,0.0519,0.0729,0.00801,-0.181,0.715
11496,2.1742,2.0919,1.9541,0.7683,3.9046,0.0084,-0.0064,0.00011,-0.207,0.591
11599,2.2797,2.2874,2.1077,0.739,3.9046,-0.036,0.0637,0.00535,-0.373,0.479
11697,2.139,2.1505,1.9996,0.7683,3.9327,-0.0182,0.0799,0.00672,-0.171,0.77
11798,2.0938,2.1505,1.9313,0.7683,3.9046,-0.0709,0.0947,0.014,-0.342,0.573
11899,2.0887,2.1799,1.9541,0.739,3.9046,-0.0818,0.1256,0.02246,-0.327,0.626
12000,2.1943,2.1359,1.9256,0.7683,3.9046,-0.0428,-0.0144,0.00204,-0.325,0.565
12101,2.1038,2.1896,1.9939,0.827,3.9046,-0.0614,0.1334,0.02157,-0.445,0.506
12204,2.1139,2.1945,1.9996,0.7683,3.9046,-0.0599,0.1287,0.02015,-0.281,0.548
12304,2.2898,2.2923,2.1476,0.7683,3.9046,-0.0125,0.0737,0.00559,-0.126,0.719
12406,2.1239,2.1896,2.0281,0.7683,3.9046,-0.0356,0.1285,0.01777,-0.242,0.384
12506,2.1893,2.1212,1.937,0.739,3.9046,-0.0242,-0.0126,0.00074,-0.267,0.696
12605,2.1893,2.1408,1.9541,0.7683,3.9046,-0.0296,0.0055,0.00091,-0.302,0.542
12712,2.1641,2.087,1.8403,0.739,3.9046,-0.0627,-0.0486,0.00629,-0.339,0.513
12808,2.0535,2.1799,1.6411,0.7683,3.9046,-0.2899,0.0245,0.08463,-0.172,0.675
12913,2.1491,2.0528,1.9882,0.7683,3.9046,0.0582,0.0116,0.00352,-0.261,0.353
13012,2.0535,2.1505,1.9598,0.7683,3.9046,-0.0604,0.1465,0.02511,-0.242,0.653
13112,2.1943,2.1457,1.9711,0.739,3.8766,-0.0217,0.0107,0.00059,-0.185,0.56
13220,2.134,2.0528,2.0394,0.7977,3.9046,0.0882,0.0486,0.01014,-0.352,0.479
13310,2.0737,2.175,2.0281,0.739,3.9046,-0.033,0.1698,0.02991,-0.14,0.703
13421,2.1491,2.043,2.0451,0.7683,3.9046,0.103,0.0309,0.01156,-0.332,0.508
13522,2.0938,2.175,2.0337,0.7683,3.9046,-0.0255,0.1525,0.02391,-0.249,0.652
13624,2.1641,2.0723,1.8517,0.7683,3.9046,-0.0431,-0.0517,0.00453,-0.348,0.58
13726,2.2898,2.2972,2.1476,0.7977,3.9046,-0.0166,0.0764,0.00612,-0.23,0.6
13827,2.1641,2.1408,1.9939,0.7683,3.8486,-0.0089,0.0475,0.00233,-0.151,0.566
13928,2.1491,2.0577,1.9882,0.7683,3.9046,0.0541,0.0143,0.00313,-0.293,0.29
14030,2.1792,2.1017,1.9768,0.7683,3.9046,0.0158,0.0039,0.00026,-0.189,0.418
14131,1.948,2.1848,0.4404,0.7683,3.9046,-1.0866,-0.3897,1.33255,-0.42,0.553
14232,2.2898,2.2923,2.1419,0.7683,3.9607,-0.0162,0.0713,0.00534,-0.148,0.681
14333,2.1139,2.2043,1.9939,0.739,3.9607,-0.0718,0.1316,0.02246,-0.268,0.706
14434,2.1792,2.1261,1.8915,0.739,3.9046,-0.0595,-0.0198,0.00394,-0.357,0.45
14535,2.1038,2.1896,2.011,0.7683,3.9046,-0.0505,0.1408,0.02237,-0.411,0.67
14635,2.1842,2.1017,1.9825,0.739,3.9046,0.0204,0.0014,0.00042,-0.265,0.481
14737,2.2898,2.2923,2.1419,0.7683,3.9046,-0.0162,0.0713,0.00534,-0.152,0.724
14838,2.1893,2.1212,1.9825,0.739,3.9046,0.005,0.0072,8e-05,-0.2,0.583
14939,2.0737,2.1554,1.9484,0.827,3.9046,-0.0679,0.1245,0.02012,-0.411,0.555
15040,2.0988,2.1896,1.9768,0.7683,3.9046,-0.0734,0.1309,0.02253,-0.286,0.67
15142,2.1088,2.1994,2.0167,0.7683,3.9046,-0.054,0.1437,0.02356,-0.339,0.653
15245,2.2848,2.2923,2.1532,0.7683,3.9046,-0.0098,0.0811,0.00668,-0.097,0.761
15345,2.139,2.043,2.0167,0.7683,3.9046,0.0827,0.0285,0.00765,-0.301,0.6
15446,2.1139,2.2092,2.0167,0.7683,3.9046,-0.0612,0.1441,0.02452,-0.444,0.603
15548,2.2898,2.2874,2.1419,0.7977,3.9046,-0.0121,0.0686,0.00485,-0.133,0.692
15650,2.134,2.043,2.0622,0.7683,3.9046,0.111,0.0531,0.01514,-0.204,0.607
15751,2.1792,2.0968,1.9142,0.739,3.9046,-0.0204,-0.026,0.00109,-0.179,0.741
15853,2.1943,2.1261,1.937,0.7683,3.9046,-0.0273,-0.0148,0.00097,-0.266,0.362
15953,2.144,2.2581,1.9313,0.7683,3.9046,-0.1512,0.1043,0.03373,-0.3,0.652
16054,2.2898,2.2874,2.1476,0.7683,3.9046,-0.0084,0.0711,0.00512,-0.101,0.705
