horodatage,temps_s,AIN0,AIN1,AIN2,AIN3
2026-06-15 13:48:07.895785,0.513,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:08.388466,1.006,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:08.890509,1.508,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:09.397097,2.015,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:09.898574,2.516,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:48:10.411957,3.030,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:48:10.916653,3.534,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:48:11.418391,4.036,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:11.931647,4.549,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:12.443751,5.061,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:12.950088,5.568,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:13.453840,6.071,1.422085,1.420479,1.416615,1.413342
2026-06-15 13:48:13.950370,6.568,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:14.459002,7.077,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:14.958520,7.576,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:48:15.457467,8.075,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:15.955731,8.573,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:16.457957,9.076,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:16.963052,9.581,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:17.466314,10.084,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:48:18.005185,10.623,1.422085,1.415299,1.416615,1.413342
