timestamp_pc,cycle,sample_index,VA,VG,Vplus,eps_a,eps_g,position_Ca,position_Cg
2026-08-06 13:41:07,1,51,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.264907
2026-08-06 13:41:07,1,52,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.264907
2026-08-06 13:41:07,1,53,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.255132
2026-08-06 13:41:07,1,54,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.514174,3.260019
2026-08-06 13:41:07,1,55,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.514174,3.279570
2026-08-06 13:41:07,1,56,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.255132
2026-08-06 13:41:07,1,57,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.274682
2026-08-06 13:41:07,1,58,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.250244
2026-08-06 13:41:07,1,59,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.260019
2026-08-06 13:41:07,1,60,3.602151,3.563050,3.445748,-0.067868,-0.089204,3.519062,3.260019
2026-08-06 13:41:07,1,61,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.523949,3.260019
2026-08-06 13:41:07,1,62,3.602151,3.558162,3.440860,-0.066922,-0.094000,3.519062,3.264907
2026-08-06 13:41:07,1,63,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.514174,3.245357
2026-08-06 13:41:07,1,64,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.514174,3.269794
2026-08-06 13:41:07,1,65,3.607038,3.563050,3.445748,-0.066922,-0.094000,3.514174,3.245357
2026-08-06 13:41:07,1,66,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.264907
2026-08-06 13:41:07,1,67,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.264907
2026-08-06 13:41:07,1,68,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.260019
2026-08-06 13:41:07,1,69,3.611926,3.567937,3.440860,-0.073208,-0.098236,3.519062,3.264907
2026-08-06 13:41:07,1,70,3.616813,3.563050,3.440860,-0.068172,-0.105708,3.519062,3.260019
2026-08-06 13:41:07,1,71,3.607038,3.563050,3.445748,-0.066922,-0.094000,3.519062,3.260019
2026-08-06 13:41:07,1,72,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.250244
2026-08-06 13:41:07,1,73,3.602151,3.558162,3.440860,-0.066922,-0.094000,3.519062,3.260019
2026-08-06 13:41:07,1,74,3.626589,3.563050,3.440860,-0.066280,-0.115298,3.519062,3.255132
2026-08-06 13:41:07,1,75,3.602151,3.563050,3.445748,-0.067868,-0.089204,3.514174,3.250244
2026-08-06 13:41:07,1,76,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.269794
2026-08-06 13:41:07,1,77,3.602151,3.558162,3.440860,-0.066922,-0.094000,3.519062,3.255132
2026-08-06 13:41:07,1,78,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.260019
2026-08-06 13:41:08,1,79,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.264907
2026-08-06 13:41:08,1,80,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.260019
2026-08-06 13:41:08,1,81,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.519062,3.250244
2026-08-06 13:41:08,1,82,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.519062,3.255132
2026-08-06 13:41:08,1,83,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.245357
2026-08-06 13:41:08,1,84,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.260019
2026-08-06 13:41:08,1,85,3.607038,3.558162,3.445748,-0.062832,-0.096676,3.519062,3.260019
2026-08-06 13:41:08,1,86,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.519062,3.250244
2026-08-06 13:41:08,1,87,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.260019
2026-08-06 13:41:08,1,88,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.245357
2026-08-06 13:41:08,1,89,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.260019
2026-08-06 13:41:08,1,90,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.264907
2026-08-06 13:41:08,1,91,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.260019
2026-08-06 13:41:08,1,92,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.514174,3.260019
2026-08-06 13:41:08,1,93,3.607038,3.563050,3.445748,-0.066922,-0.094000,3.514174,3.255132
2026-08-06 13:41:08,1,94,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.519062,3.264907
2026-08-06 13:41:08,1,95,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.255132
2026-08-06 13:41:08,1,96,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.264907
2026-08-06 13:41:08,1,97,3.611926,3.563050,3.440860,-0.069119,-0.100913,3.519062,3.245357
2026-08-06 13:41:08,1,98,3.607038,3.558162,3.440860,-0.065975,-0.098795,3.519062,3.255132
2026-08-06 13:41:08,1,99,3.607038,3.563050,3.440860,-0.070065,-0.096118,3.519062,3.255132
2026-08-06 13:41:08,1,100,3.602151,3.563050,3.440860,-0.071011,-0.091323,3.519062,3.255132
