timestamp_pc,VA,VG,Vplus,eps_a,eps_g,position_Ca,position_Cg,VA_arduino,diff_va,arduino_lag_s
2026-08-07 14:50:45,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.131662368774414,3.900515556335449,3.538576,-0.08528124597167963,-0.013992547988891602
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.131662368774414,3.9056968688964844,3.538576,-0.08009897973632807,-0.003480195999145508
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.126481056213379,3.9056968688964844,3.533854,-0.07537697973632795,-0.003195047378540039
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.245496,-0.07426550138353794,-0.1333555161462931,1.1213006973266602,3.900515556335449,3.543298,-0.08482097973632818,-0.0021867752075195312
2026-08-07 14:50:45,3.4532947540283203,3.383535385131836,3.234805,-0.08214429972758064,-0.1329052074566426,1.1213006973266602,3.900515556335449,3.533854,-0.08055924597167952,-0.0015060901641845703
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.245496,-0.07426550138353794,-0.1333555161462931,1.131662368774414,3.9056968688964844,3.538576,-0.08009897973632807,0.0
2026-08-07 14:50:45,3.4532947540283203,3.383535385131836,3.234805,-0.08214429972758064,-0.1329052074566426,1.131662368774414,3.9056968688964844,3.533854,-0.08055924597167952,-0.003175497055053711
2026-08-07 14:50:45,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.126481056213379,3.900515556335449,3.538576,-0.08528124597167963,-0.0020341873168945312
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.126481056213379,3.9056968688964844,3.533854,-0.07537697973632795,-0.0018341541290283203
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.131662368774414,3.9056968688964844,3.538576,-0.08009897973632807,-0.004025936126708984
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.126481056213379,3.900515556335449,3.533854,-0.07537697973632795,-0.002010345458984375
2026-08-07 14:50:45,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,-0.003607511520385742
2026-08-07 14:50:45,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.126481056213379,3.9056968688964844,3.538576,-0.08009897973632807,-0.005970954895019531
2026-08-07 14:50:46,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.126481056213379,3.900515556335449,3.538576,-0.08009897973632807,-0.003565073013305664
2026-08-07 14:50:46,3.458477020263672,3.383535385131836,3.234805,-0.08114099111189318,-0.1379894237340793,1.126481056213379,3.9056968688964844,3.533854,-0.07537697973632795,-0.0031621456146240234
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.131662368774414,3.9056968688964844,3.538576,-0.08528124597167963,0.0
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,0.0
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.218769,-0.09245721276508001,-0.13985585211829632,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,0.0
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,-0.0036110877990722656
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.234805,-0.08214429972758064,-0.1329052074566426,1.131662368774414,3.9056968688964844,3.533854,-0.08055924597167952,-0.00623321533203125
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.224114,-0.08901978945593589,-0.13753911504442878,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,-0.0033159255981445312
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.234805,-0.08214429972758064,-0.1329052074566426,1.131662368774414,3.9056968688964844,3.533854,-0.08055924597167952,-0.006030082702636719
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.245496,-0.07526880999922539,-0.12827129986885644,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,-0.004024505615234375
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.245496,-0.07526880999922539,-0.12827129986885644,1.1213006973266602,3.9056968688964844,3.533854,-0.08055924597167952,-0.0020143985748291016
2026-08-07 14:50:46,3.458477020263672,3.3887147903442383,3.240151,-0.08203660703641653,-0.1328358054949479,1.131662368774414,3.9056968688964844,3.538576,-0.08009897973632807,-0.0014011859893798828
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.245496,-0.07526880999922539,-0.12827129986885644,1.126481056213379,3.900515556335449,3.529132,-0.07583724597167985,-0.0028715133666992188
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.234805,-0.08214429972758064,-0.1329052074566426,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,0.0
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.1213006973266602,3.900515556335449,3.538576,-0.08528124597167963,-0.003430604934692383
2026-08-07 14:50:46,3.458477020263672,3.383535385131836,3.240151,-0.07770292469268207,-0.13567225322016063,1.126481056213379,3.9056968688964844,3.538576,-0.08009897973632807,-0.0021042823791503906
2026-08-07 14:50:46,3.458477020263672,3.383535385131836,3.234805,-0.08114099111189318,-0.1379894237340793,1.1213006973266602,3.900515556335449,3.533854,-0.07537697973632795,-0.0024509429931640625
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.245496,-0.07526880999922539,-0.12827129986885644,1.126481056213379,3.9056968688964844,3.538576,-0.08528124597167963,0.0
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.234805,-0.08214429972758064,-0.1329052074566426,1.126481056213379,3.900515556335449,3.533854,-0.08055924597167952,-0.0020122528076171875
2026-08-07 14:50:46,3.4532947540283203,3.383535385131836,3.240151,-0.07870623330836951,-0.13058803694272397,1.1213006973266602,3.900515556335449,3.543298,-0.09000324597167975,0.0
